サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,被度2025,date,photo
1,B2,アオダモ,0,1,1,1,,2025/08/18,
1,B2,イタヤカエデ,0.5,0.5,1,0.3,0.3,2025/08/18,
1,B2,ウリハダカエデ,0,12,3,0.5,0.5,2025/08/18,
1,B2,ウワミズザクラ,4,5,5,0.8,0.5,2025/08/18,
1,B2,オオカメノキ,5,10,5,14,2,2025/08/18,
1,B2,オオバクロモジ,5,18,15,10,3,2025/08/18,
1,B2,コシアブラ,0,1,1,4,3,2025/08/18,
1,B2,コマユミ,2,0,0,0.1,,2025/08/18,
1,B2,サワフタギ,2,4,3,2,1.2,2025/08/18,
1,B2,タムシバ,0,0,2,3,1,2025/08/18,
1,B2,ツノハシバミ,1,0,1,0.5,,2025/08/18,
1,B2,ツリバナ,0,0,3,0.5,,2025/08/18,
1,B2,トチノキ,0,0.5,0,0.5,0.1,2025/08/18,
1,B2,ノリウツギ,0,1,2,0.5,0.1,2025/08/18,
1,B2,ハイイヌガヤ,0,3,1,3.5,0.5,2025/08/18,
1,B2,ヒメアオキ,4,8,5,2,5,2025/08/18,
1,B2,ブナ,0,0.5,0.5,2,0.5,2025/08/18,
1,B2,ホオノキ,0,1,1,1.5,0.5,2025/08/18,
1,B2,ミズキ,4,0,0,0,,2025/08/18,
1,B2,ヤマウルシ,0.5,2,5,1,2,2025/08/18,
1,C,コカンスゲ,4,0,0,0,,2025/08/18,
1,C,シノブカグマ,0,0.5,0,0,,2025/08/18,
1,C,シラネワラビ,5,20,30,25,20,2025/08/18,
1,C,チゴユリ,0.5,0.5,0.5,0,,2025/08/18,
1,C,ツルアリドオシ,0,8,0.5,0.5,0.1,2025/08/18,
1,C,ツルリンドウ,0,0,0.5,0,0.2,2025/08/18,
1,C,ヒメカンアオイ,0.5,0.5,0,0.5,,2025/08/18,
1,C,ヒメモチ,1,0.5,1.5,1,0.1,2025/08/18,
1,C,ミヤマウズラ,0,0,0.5,0,,2025/08/18,
1,C,ミヤマカンスゲ,0,6,15,15,10,2025/08/18,
1,C,ヤマソテツ,5,8,5,3,3,2025/08/18,
1,C,ヤマトユキザサ,0,0.5,0,0.5,,2025/08/18,
1,C,ユキザサ,0.5,0,1,0.5,,2025/08/18,
1,S,チシマザサ,6,20,20,15,20,2025/08/18,
1,,タケシマラン,,,,,0.1,2025/08/18,
2,B2,アオダモ,0,0,2,3.5,0.5,2025/08/18,
2,B2,ウリハダカエデ,0.5,0,3,13,5,2025/08/18,
2,B2,ウワミズザクラ,4,0,3,3,0.5,2025/08/18,
2,B2,オオカメノキ,7,0,20,37,15,2025/08/18,
2,B2,オオバクロモジ,5,0,30,25,10,2025/08/18,
2,B2,クロウスゴ,0,0,0.5,0.5,,2025/08/18,
2,B2,コマユミ,3,0,0.5,0.5,0.3,2025/08/18,
2,B2,ツノハシバミ,2,0,1,0,,2025/08/18,
2,B2,ツリバナ,0,0,0,0.5,0.36,2025/08/18,
2,B2,トチノキ,0,0,0.5,0.5,0.1,2025/08/18,
2,B2,ナナカマド,0,0,2,3,,2025/08/18,
2,B2,ノリウツギ,0,0,2,2,,2025/08/18,
2,B2,ハイイヌガヤ,0.5,0,1,2.5,0.3,2025/08/18,
2,B2,ハウチワカエデ,0,0,5,0.5,6,2025/08/18,
2,B2,ヒメアオキ,3,0,2,6.5,3,2025/08/18,
2,B2,ブナ,6,0,2,2,,2025/08/18,
2,B2,マユミ,2,0,0,0.5,,2025/08/18,
2,B2,ミズキ,4,0,0,0,,2025/08/18,
2,B2,ヤマウルシ,0,0,2,0,,2025/08/18,
2,C,イワカガミ,2,0,0.5,0,,2025/08/18,
2,C,ウメガサソウ,0,0.5,0,0,,2025/08/18,
2,C,エンレイソウ,0,0,0,0.5,,2025/08/18,
2,C,オシダ,0.5,0.5,0,0.5,,2025/08/18,
2,C,コカンスゲ,3,0,0,0,,2025/08/18,
2,C,サワダツ,0,0,0.5,0.5,,2025/08/18,
2,C,シノブカグマ,0,0,0.5,0,0.5,2025/08/18,
2,C,シラネワラビ,5,20,30,30,20,2025/08/18,
2,C,タケシマラン,0,0.5,0.5,0.5,0.1,2025/08/18,
2,C,タチシオデ,0,0.5,0,0,,2025/08/18,
2,C,タニギキョウ,0,0.5,0,0,0.1,2025/08/18,
2,C,チゴユリ,4,8,0.5,1,0.1,2025/08/18,
2,C,ツルアリドオシ,3,4,0.5,0.5,0.1,2025/08/18,
2,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/18,
2,C,ヒメカンアオイ,0,0.5,0.5,0.5,,2025/08/18,
2,C,ヒメモチ,1,0,0.5,0.5,1,2025/08/18,
2,C,ホウチャクソウ,0.5,0,0,0,,2025/08/18,
2,C,ミヤマカンスゲ,0,5,5,10,5,2025/08/18,
2,C,ヤマソテツ,4,1,1,1,1,2025/08/18,
2,C,ヤマトユキザサ,0,2,0.5,0,0.1,2025/08/18,
2,C,ユキザサ,1,0,0.5,0.5,0.1,2025/08/18,
2,S,チシマザサ,7,30,10,20,20,2025/08/18,
2,,コシアブラ,,,,,0.3,2025/08/18,
2,,ツルリンドウ,,,,,0,2025/08/18,
2,,ホソバナライシダ,,,,,0.1,2025/08/18,00:10:31
3,B2,アオダモ,0,0.5,1,0.5,1.5,2025/08/18,
3,B2,イタヤカエデ,0,0,1,0,,2025/08/18,
3,B2,ウリハダカエデ,0.5,5,1,1.5,2,2025/08/18,
3,B2,ウワミズザクラ,4,1,1,3,0.6,2025/08/18,
3,B2,オオカメノキ,6,25,25,30,20,2025/08/18,
3,B2,オオバクロモジ,5,15,1,20,0.5,2025/08/18,
3,B2,コシアブラ,0,1,4,5.5,5,2025/08/18,
3,B2,ツノハシバミ,1,0,0,0,,2025/08/18,
3,B2,ナナカマド,0,0.5,1,0,,2025/08/18,
3,B2,ノリウツギ,0,0,0.5,0,,2025/08/18,
3,B2,ハイイヌガヤ,0.5,0,0,0,,2025/08/18,
3,B2,ハウチワカエデ,0,0,0,2,,2025/08/18,
3,B2,ヒメアオキ,0,5,1,1,,2025/08/18,
3,B2,ブナ,5,8,5,1,0.5,2025/08/18,
3,B2,ホオノキ,0,5,5,3,4,2025/08/18,
3,B2,ミズキ,3,0,0,0,,2025/08/18,
3,B2,ヤマウルシ,3,2,1,0.5,,2025/08/18,
3,C,イワカガミ,4,0,0,0,,2025/08/18,
3,C,コカンスゲ,4,0,0,0,,2025/08/18,
3,C,シラネワラビ,5,10,20,35,15,2025/08/18,
