サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,,no,II_
1,B2,アオダモ,0,1,1,1,,1,1
1,B2,イタヤカエデ,0.5,0.5,1,0.3,,6,0.5
1,B2,ウリハダカエデ,0,12,3,0.5,,7,5
1,B2,ウワミズザクラ,4,5,5,0.8,,8,4
1,B2,オオカメノキ,5,10,5,14,,9,5
1,B2,オオバクロモジ,5,18,15,10,,10,6
1,B2,コシアブラ,0,1,1,4,,11,1
1,B2,コマユミ,2,0,0,0.1,,12,0
1,B2,サワフタギ,2,4,3,2,,13,2
1,B2,ツノハシバミ,1,0,1,0.5,,14,0
1,B2,トチノキ,0,0.5,0,0.5,,15,0.5
1,B2,ノリウツギ,0,1,2,0.5,,16,1
1,B2,ハイイヌガヤ,0,3,1,3.5,,17,2
1,B2,ヒメアオキ,4,8,5,2,,18,5
1,B2,ヒメモチ,1,0.5,0.5,1,,19,0.5
1,B2,ブナ,0,0.5,0.5,2,,20,0.5
1,B2,ホオノキ,0,1,1,1.5,,21,1
1,B2,ミズキ,4,0,0,,,22,0
1,B2,ヤマウルシ,0.5,2,5,1,,23,2
1,B2,ツリバナ,,,3,0.5,,24,
1,B2,タムシバ,,,2,3,,25,
1,C,オオバユキザサ,0,0.5,0,0.5,,26,0.5
1,C,シノブカグマ,0,0.5,0,,,27,0.5
1,C,シラネワラビ,5,20,30,25,,28,6
1,C,チゴユリ,0.5,0.5,0.5,,,29,0.5
1,C,ツルアリドオシ,0,8,0.5,0.5,,30,4
1,C,ヒメカンアオイ,0.5,0.5,0,0.5,,31,0.5
1,C,ミヤマカンスゲ,0,6,15,15,,32,4
1,C,ヤマソテツ,5,8,5,3,,33,4
1,C,ユキザサ,0.5,0,1,0.5,,34,0
1,C,コカンスゲ,4,0,0,,,35,0
1,C,ヒメモチ,,,0.5,,,36,
1,C,ミヤマウズラ,,,0.5,,,37,
1,C,ツルリンドウ,,,0.5,,,38,
1,S,チシマザサ,6,20,20,15,,39,6
2,B2,ウリハダカエデ,0.5,0,3,13,,43,0
2,B2,ウワミズザクラ,4,0,3,3,,64,0
2,B2,オオカメノキ,7,0,20,37,,65,0
2,B2,オオバクロモジ,5,0,30,25,,66,0
2,B2,コマユミ,3,0,0.5,0.5,,67,0
2,B2,ツノハシバミ,2,0,1,,,68,0
2,B2,ハイイヌガヤ,0.5,0,1,2.5,,69,0
2,B2,ハイイヌツゲ,0.5,0,0,,,70,0
2,B2,ヒメアオキ,3,0,2,6.5,,71,0
2,B2,ヒメモチ,1,0,0.5,0.5,,72,0
2,B2,ブナ,6,0,2,2,,73,0
2,B2,ミズキ,4,0,0,,,74,0
2,B2,マユミ,2,0,0,0.5,,75,0
2,B2,アオダモ,,,2,3.5,,76,
2,B2,ノリウツギ,,,2,2,,77,
2,B2,ヤマウルシ,,,2,0,,78,
2,B2,サワダツ,,,0.5,0.5,,79,
2,B2,ナナカマド,,,2,3,,80,
2,B2,メイゲツカエデ,,,5,0.5,,81,
2,B2,トチノキ,,,0.5,0.5,,82,
2,B2,クロウスゴ,,,0.5,0.5,,83,
2,C,ウメガサソウ,0,0.5,0,,,84,0.5
2,C,オオバユキザサ,0,2,0.5,,,85,2
2,C,オシダ,0.5,0.5,0,0.5,,86,0.5
2,C,シラネワラビ,5,20,30,30,,87,6
2,C,タケシマラン,0,0.5,0.5,0.5,,88,0.5
2,C,タチシオデ,0,0.5,0,,,89,0.5
2,C,タニギキョウ,0,0.5,0,,,90,0.5
2,C,チゴユリ,4,8,0.5,1,,91,4
2,C,ツルアリドオシ,3,4,0.5,0.5,,92,3
2,C,ヒメカンアオイ,0,0.5,0.5,0.5,,93,0.5
2,C,ミヤマカンスゲ,0,5,5,10,,94,4
2,C,ヤマソテツ,4,1,1,1,,95,1
2,C,ユキザサ,1,0,0.5,0.5,,96,0
2,C,コイワカガミ,2,0,0.5,,,97,0
2,C,コカンスゲ,3,0,0,,,98,0
2,C,ホウチャクソウ,0.5,0,0,,,99,0
2,C,シノブカグマ,,,0.5,,,100,
2,S,チシマザサ,7,30,10,20,,101,6
2,,エンレイソウ,,,,0.5,,,
2,,ツリバナ,,,,0.5,,,
3,B2,アオダモ,0,0.5,1,0.5,,105,0.5
3,B2,ウリハダカエデ,0.5,5,1,1.5,,116,4
3,B2,ウワミズザクラ,4,1,1,3,,117,1
3,B2,オオカメノキ,6,25,25,30,,118,6
3,B2,オオバクロモジ,5,15,1,20,,119,5
3,B2,コシアブラ,0,1,4,5.5,,120,1
3,B2,ツノハシバミ,1,0,0,,,121,0
3,B2,ナナカマド,0,0.5,1,,,122,0.5
3,B2,ハイイヌガヤ,0.5,0,0,,,123,0
3,B2,ハイイヌツゲ,0.5,0,0,,,124,0
3,B2,ヒメアオキ,0,5,1,1,,125,4
3,B2,ブナ,5,8,5,1,,126,4
3,B2,ホオノキ,0,5,5,3,,127,4
3,B2,ミズキ,3,0,0,,,128,0
3,B2,ミヤマシキミ,0,0.5,0,,,129,0.5
3,B2,ヤマウルシ,3,2,1,0.5,,130,2
3,B2,イタヤカエデ,,,1,,,131,
3,B2,ヒメモチ,,,1,0.5,,132,
3,B2,ノリウツギ,,,0.5,,,133,
3,C,シラネワラビ,5,10,20,35,,134,5
3,C,チゴユリ,3,3,1,1,,135,3
3,C,ツクバネソウ,0.5,0,0,,,136,0
3,C,ツルアリドオシ,3,8,1,0.8,,137,4
3,C,ツルリンドウ,0,0.5,0.5,0,,138,0.5
3,C,ナライシダ,0,4,0.5,,,139,3
3,C,ヒメカンアオイ,0.5,1,3,2,,140,1
3,C,マイヅルソウ,0,0.5,0.5,,,141,0.5
3,C,ミヤマカンスゲ,0,6,8,8,,142,4
3,C,ヤマソテツ,4,3,1,1,,143,3
3,C,ユキザサ,1,2,0.5,0.5,,144,2
3,C,コイワカガミ,4,0,0,,,145,0
3,C,コカンスゲ,4,0,0,,,146,0
3,S,チシマザサ,8,50,35,30,,147,8
,,ハウチワカエデ,,,,2,,,
4,B2,アオダモ,0,0.5,1,3,,151,0.5
4,B2,ウリハダカエデ,0,4,4,2,,159,3
4,B2,ウワミズザクラ,3,4,1,3,,160,3
4,B2,エゾユズリハ,0,0.5,1,,,161,0.5
4,B2,オオカメノキ,6,20,15,20,,162,6
4,B2,オオバクロモジ,5,6,1,4,,163,4
