"","階層","種名","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","頻度","総合優占度"
"1","B2","アオダモ",1,3,0.5,3,0,0,1,1,0,0,1,3,2,0,0.5,2,4,1,0,0.5,0.5,0.5,0.5,0.5,0.5,"Ⅳ",28.1140534252889
"2","B2","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.78885438199983
"3","B2","イタヤカエデ",0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,"Ⅲ",12.5219806739988
"4","B2","ウリハダカエデ",0.5,5,1,2,5,1,4,3,1,2,1,2,1,4,2,0.5,3,4,3,0.5,0.5,4,1,0.5,0.5,"Ⅴ",45.6070170039655
"5","B2","ウワミズザクラ",0.5,3,3,3,3,2,3,0.5,2,4,0,1,2,2,3,0,1,4,2,1,4,0.5,3,4,1,"Ⅴ",43.9545219516718
"6","B2","エゾユズリハ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.78885438199983
"7","B2","オオイタヤメイゲツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"8","B2","オオカメノキ",5,7,6,6,5,6,6,7,6,3,6,9,6,5,3,5,5,5,5,5,5,5,4,4,4,"Ⅴ",72.9383301152419
"9","B2","オオバクロモジ",5,6,6,3,4,5,5,5,4,4,5,4,6,3,3,3,4,5,5,2,2,4,4,3,1,"Ⅴ",63.5609943282828
"10","B2","クサアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"11","B2","クロウスゴ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"12","B2","コシアブラ",3,0,4,1,0.5,0,1,3,0,2,3,3,5,1,0.5,0.5,1,3,3,0.5,0.5,0.5,4,0.5,0.5,"Ⅴ",37.989472225868
"13","B2","コマユミ",0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,"Ⅲ",13.4164078649987
"14","B2","サワフタギ",2,0,0,0,0,0,0,1,4,0.5,0,0,1,0,0,0,0,0,4,3,0,0,4,2,5,"Ⅱ",20.591260281974
"15","B2","スノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"16","B2","タカノツメ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"17","B2","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"18","B2","タムシバ",3,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,"Ⅰ",6.32455532033676
"19","B2","ツノハシバミ",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,"Ⅰ",6.44980619863884
"20","B2","ツリバナ",0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,1,0,0.5,1,0,0.5,0,0.5,0,0.5,0,0,0.5,0,"Ⅲ",10.6957935656967
"21","B2","トチノキ",0.5,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,"Ⅳ",15.2052622469986
"22","B2","ナナカマド",0,3,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0.5,2,2,0,1,0.5,0.5,0,"Ⅲ",14.8323969741913
"23","B2","ノリウツギ",0.5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0,2,2,0,0,"Ⅱ",13.145341380124
"24","B2","ハイイヌガヤ",3,2,0,0,0,4,3,0.5,0,0,2,1,0,0,0,0.5,1,0,0,2,1,0.5,1,0.5,0.5,"Ⅲ",23.2379000772445
"25","B2","ハウチワカエデ",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,"Ⅰ",2.82842712474619
"26","B2","ハリギリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"27","B2","ヒメアオキ",2,4,1,0.5,0,2,2,0.5,0,0.5,3,3,0,1,1,0.5,3,4,1,3,3,3,3,2,0.5,"Ⅴ",39.1305507244659
"28","B2","ブナ",2,2,1,4,4,0.5,0.5,0.5,8,4,2,3,4,4,5,2,1,1,3,5,3,2,1,1,3,"Ⅴ",51.5751878329105
"29","B2","ホオノキ",1,0,3,1,0,0,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,"Ⅱ",12.3935467078637
"30","B2","マユミ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,"Ⅰ",1.78885438199983
"31","B2","ミズキ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,3,0.5,0,0,0,2,"Ⅰ",7.48331477354788
"32","B2","メイゲツカエデ",0,0.5,0,4,1,0,0,0.5,4,0,1,2,2,1,0,0,3,0,0,2,0,3,0.5,0.5,1,"Ⅲ",24.9799919935936
"33","B2","ヤマアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"34","B2","ヤマウルシ",1,0,0.5,0.5,0.5,0.5,3,3,0.5,1,3,4,4,2,0,1,3,4,0,0,0,0,2,0.5,0,"Ⅳ",31.2921715449727
"35","B2","ヤマモミジ",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0.5,4,0,0,0.5,0.5,"Ⅱ",10.0399203184089
"36","C","アカミノルイヨウショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"37","C","イボタノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,"Ⅰ",0.894427190999916
"38","C","ウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"39","C","ウメガサソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"40","C","エンレイソウ",0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0.5,"Ⅱ",5.3665631459995
"41","C","オオバユキザサ",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"42","C","オシダ",0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,"Ⅱ",6.19677335393187
"43","C","カメバヒキオコシ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.5,0,0,0,0,0.5,0,1,0,0,"Ⅰ",6.92820323027551
"44","C","ギンリョウソウ",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"45","C","クルマバソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"46","C","クルマバハグマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,"Ⅰ",0.894427190999916
