layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
B2,アオダモ,bl,0.07692307692307693,0.6923076923076923,0.8846153846153846,0.7692307692307693,0.8076923076923077,Ⅰ,Ⅳ,Ⅴ,Ⅳ,Ⅴ,0.02,0.94,0.832,1,0.6,1.2403473458920846,25.51017896388088,27.12931993250107,27.735009811261452,22.013981571160283,1
B2,アクシバ,bs,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.04,0.08,0.06,0,0,1.7541160386140586,2.4806946917841692,2.1483446221182985,0
B2,イタヤカエデ,bl,0.23076923076923078,0.4230769230769231,0.6923076923076923,0.5769230769230769,0.46153846153846156,Ⅱ,Ⅲ,Ⅳ,Ⅲ,Ⅲ,0.12,0.26,0.316,0.192,0.104,5.262348115842174,10.488088481701514,14.790849562118828,10.524696231684349,6.928203230275509,1
B2,ウリハダカエデ,bl,0.46153846153846156,0.9230769230769231,0.9230769230769231,1,1,Ⅲ,Ⅴ,Ⅴ,Ⅴ,Ⅴ,0.22,4,2.292,2.936,2.368,10.076629473115577,60.76436202502,45.99665539680366,54.184868736576256,48.66210024238576,1
B2,ウワミズザクラ,bl,0.7692307692307693,0.6538461538461539,0.8076923076923077,0.9230769230769231,0.8461538461538461,Ⅳ,Ⅳ,Ⅴ,Ⅴ,Ⅴ,2.76,2.02,1.96,2.436,1.004,46.076858867298256,36.3423888973913,39.78789920411636,47.419567528767956,29.146843080142684,1
B2,エゾユズリハ,bs,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.11538461538461539,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.02,0.02,0.08,0.08,0.032,1.2403473458920846,1.2403473458920846,3.038218101251,2.4806946917841692,1.9215378456610457,1
B2,オオイタヤメイゲツ,bl,0,0,0.15384615384615385,0,0.07692307692307693,-,-,Ⅰ,-,Ⅰ,0,0,0.28,0,0.004,0,0,6.563301233138936,0,0.554700196225229,0
B2,オオカメノキ,bs,1,0.9615384615384616,1,1,1,Ⅴ,Ⅴ,Ⅴ,Ⅴ,Ⅴ,5.24,13.84,15.92,16.56,10.006,72.38784428341543,115.35897150933822,126.17448236470003,128.6856635371633,100.02999550134949,1
B2,オオバクロモジ,bs,0.9615384615384616,0.9615384615384616,1,1,1,Ⅴ,Ⅴ,Ⅴ,Ⅴ,Ⅴ,4,6.48,6.08,9.52,3.432,62.01736729460423,78.93522173763263,77.9743547584717,97.57048734120373,58.58327406350724,1
B2,クサアジサイ,bs,0.11538461538461539,0.15384615384615385,0.07692307692307693,0,0,Ⅰ,Ⅰ,Ⅰ,-,-,0.06,0.56,0.02,0,0,2.631174057921087,9.281909617845141,1.2403473458920846,0,0,0
B2,クロウスゴ,bs,0,0,0.07692307692307693,0.07692307692307693,0,-,-,Ⅰ,Ⅰ,-,0,0,0.02,0.02,0,0,0,1.2403473458920846,1.2403473458920846,0,0
B2,コシアブラ,bl,0.2692307692307692,0.5769230769230769,0.8461538461538461,0.8846153846153846,0.9615384615384616,Ⅱ,Ⅲ,Ⅴ,Ⅴ,Ⅴ,0.14,0.44,1.096,2.236,1.308,6.139406135149204,15.932550136313827,30.45299025357962,44.47471191587417,35.46395786840926,1
B2,コマユミ,bs,0.6153846153846154,0.23076923076923078,0.46153846153846156,0.6153846153846154,0.46153846153846156,Ⅳ,Ⅱ,Ⅲ,Ⅳ,Ⅲ,1.52,0.1,0.17200000000000001,0.208,0.08,30.58405819025028,4.803844614152615,8.909804452658621,11.31370849898476,6.076436202502,1
B2,サワフタギ,bs,0.2692307692307692,0.34615384615384615,0.34615384615384615,0.4230769230769231,0.34615384615384615,Ⅱ,Ⅱ,Ⅱ,Ⅲ,Ⅱ,0.92,1.98,1.2,1.6,1.008,15.738243475442475,26.179851324723277,20.380986614602723,26.017745423519635,18.679482779859747,1
B2,スノキ,bs,0,0.07692307692307693,0.07692307692307693,0,0,-,Ⅰ,Ⅰ,-,-,0,0.04,0.04,0,0,0,1.7541160386140586,1.7541160386140586,0,0,0
B2,タカノツメ,bl,0,0,0.07692307692307693,0,0,-,-,Ⅰ,-,-,0,0,0.004,0,0,0,0,0.554700196225229,0,0,0
B2,タニウツギ,bs,0,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,-,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0,0.08,0.2,0.02,0.02,0,2.4806946917841692,4.803844614152615,1.2403473458920846,1.2403473458920846,0
