sp,Meandk01,Frequencydk01,FreqCodedk01,DominatIndexdk01,Meandk01dk,Frequencydk01dk,FreqCodedk01dk,DominatIndexdk01dk,Meanc02,Frequencyc02,FreqCodec02,DominatIndexc02,Meanc02dk,Frequencyc02dk,FreqCodec02dk,DominatIndexc02dk,Meanc03,Frequencyc03,FreqCodec03,DominatIndexc03,Meanc03dk,Frequencyc03dk,FreqCodec03dk,DominatIndexc03dk,Meanc04,Frequencyc04,FreqCodec04,DominatIndexc04,Meanc04dk,Frequencyc04dk,FreqCodec04dk,DominatIndexc04dk,Meanc05,Frequencyc05,FreqCodec05,DominatIndexc05,Meanc05dk,Frequencyc05dk,FreqCodec05dk,DominatIndexc05dk
アオダモ,0.02,0.07692307692307693,Ⅰ,1.2403473458920846,0.02,0.07692307692307693,Ⅰ,1.2403473458920846,0.94,0.6923076923076923,Ⅳ,25.51017896388088,0.86,0.6923076923076923,Ⅳ,24.40050440840548,0.832,0.8846153846153846,Ⅴ,27.12931993250107,0.86,0.8846153846153846,Ⅴ,27.582045442084798,1,0.7692307692307693,Ⅳ,27.735009811261452,1.04,0.7692307692307693,Ⅳ,28.284271247461902,1,0.7692307692307693,Ⅳ,27.735009811261452,1.04,0.7692307692307693,Ⅳ,28.284271247461902
イタヤカエデ,0.12,0.23076923076923078,Ⅱ,5.262348115842174,0.12,0.23076923076923078,Ⅱ,5.262348115842174,0.26,0.4230769230769231,Ⅲ,10.488088481701514,0.26,0.4230769230769231,Ⅲ,10.488088481701514,0.316,0.6923076923076923,Ⅳ,14.790849562118828,0.4,0.6923076923076923,Ⅳ,16.641005886756876,0.192,0.5769230769230769,Ⅲ,10.524696231684349,0.28,0.5769230769230769,Ⅲ,12.70977818604485,0.192,0.5769230769230769,Ⅲ,10.524696231684349,0.28,0.5769230769230769,Ⅲ,12.70977818604485
ウリハダカエデ,0.22,0.46153846153846156,Ⅲ,10.076629473115577,0.22,0.46153846153846156,Ⅲ,10.076629473115577,4,0.9230769230769231,Ⅴ,60.76436202502,2.88,0.9230769230769231,Ⅴ,51.56027093083916,2.292,0.9230769230769231,Ⅴ,45.99665539680366,1.68,0.9230769230769231,Ⅴ,39.37980739883361,2.936,1,Ⅴ,54.184868736576256,2.08,1,Ⅴ,45.60701700396552,2.936,1,Ⅴ,54.184868736576256,2.08,1,Ⅴ,45.60701700396552
ウワミズザクラ,2.76,0.7692307692307693,Ⅳ,46.076858867298256,2.76,0.7692307692307693,Ⅳ,46.076858867298256,2.02,0.6538461538461539,Ⅳ,36.3423888973913,1.66,0.6538461538461539,Ⅳ,32.945175904593604,1.96,0.8076923076923077,Ⅴ,39.78789920411636,1.76,0.8076923076923077,Ⅴ,37.703295101866914,2.436,0.9230769230769231,Ⅴ,47.419567528767956,2.1,0.9230769230769231,Ⅴ,44.027963142320566,2.436,0.9230769230769231,Ⅴ,47.419567528767956,2.1,0.9230769230769231,Ⅴ,44.027963142320566
オオカメノキ,5.24,1,Ⅴ,72.38784428341543,5.24,1,Ⅴ,72.38784428341543,13.84,0.9615384615384616,Ⅴ,115.35897150933822,4.84,0.9615384615384616,Ⅴ,68.21910402406465,15.92,1,Ⅴ,126.17448236470003,5.08,1,Ⅴ,71.27411872482183,16.56,1,Ⅴ,128.6856635371633,5.2,1,Ⅴ,72.11102550927978,16.56,1,Ⅴ,128.6856635371633,5.2,1,Ⅴ,72.11102550927978
オオバクロモジ,4,0.9615384615384616,Ⅴ,62.01736729460423,4,0.9615384615384616,Ⅴ,62.01736729460423,6.48,0.9615384615384616,Ⅴ,78.93522173763263,3.76,0.9615384615384616,Ⅴ,60.12806844880863,6.08,1,Ⅴ,77.9743547584717,3.2,1,Ⅴ,56.568542494923804,9.52,1,Ⅴ,97.57048734120373,4.04,1,Ⅴ,63.56099432828281,9.52,1,Ⅴ,97.57048734120373,4.04,1,Ⅴ,63.56099432828281
コシアブラ,0.14,0.2692307692307692,Ⅱ,6.139406135149204,0.14,0.2692307692307692,Ⅱ,6.139406135149204,0.44,0.5769230769230769,Ⅲ,15.932550136313827,0.44,0.5769230769230769,Ⅲ,15.932550136313827,1.096,0.8461538461538461,Ⅴ,30.45299025357962,1.08,0.8461538461538461,Ⅴ,30.22988841934673,2.236,0.8846153846153846,Ⅴ,44.47471191587417,1.64,0.8846153846153846,Ⅴ,38.08896468492193,2.236,0.8846153846153846,Ⅴ,44.47471191587417,1.64,0.8846153846153846,Ⅴ,38.08896468492193
コマユミ,1.52,0.6153846153846154,Ⅳ,30.58405819025028,1.52,0.6153846153846154,Ⅳ,30.58405819025028,0.1,0.23076923076923078,Ⅱ,4.803844614152615,0.1,0.23076923076923078,Ⅱ,4.803844614152615,0.17200000000000001,0.46153846153846156,Ⅲ,8.909804452658621,0.22,0.46153846153846156,Ⅲ,10.076629473115577,0.208,0.6153846153846154,Ⅳ,11.31370849898476,0.3,0.6153846153846154,Ⅳ,13.58732440973515,0.208,0.6153846153846154,Ⅳ,11.31370849898476,0.3,0.6153846153846154,Ⅳ,13.58732440973515
サワフタギ,0.92,0.2692307692307692,Ⅱ,15.738243475442475,0.92,0.2692307692307692,Ⅱ,15.738243475442475,1.98,0.34615384615384615,Ⅱ,26.179851324723277,1.14,0.34615384615384615,Ⅱ,19.8649285076837,1.2,0.34615384615384615,Ⅱ,20.380986614602723,0.88,0.34615384615384615,Ⅱ,17.453234216482187,1.6,0.4230769230769231,Ⅲ,26.017745423519635,1.06,0.4230769230769231,Ⅲ,21.176910503223514,1.6,0.4230769230769231,Ⅲ,26.017745423519635,1.06,0.4230769230769231,Ⅲ,21.176910503223514
タムシバ,0,0,-,0,0,0,-,0,0.02,0.07692307692307693,Ⅰ,1.2403473458920846,0.02,0.07692307692307693,Ⅰ,1.2403473458920846,0.14,0.15384615384615385,Ⅰ,4.6409548089225705,0.14,0.15384615384615385,Ⅰ,4.6409548089225705,0.188,0.23076923076923078,Ⅱ,6.586699885725429,0.2,0.23076923076923078,Ⅱ,6.793662204867575,0.188,0.23076923076923078,Ⅱ,6.586699885725429,0.2,0.23076923076923078,Ⅱ,6.793662204867575
