サブプロット,階層,種名,DK1999,被度2006,被度2012,
1,A1,オオシラビソ,6,30,30,
1,A2,オオシラビソ,7,30,30,
1,B1,ミネカエデ,6,10,,
1,B2,オオカメノキ,0,1,0.5,
1,B2,オオシラビソ,4,5,0.5,
1,B2,オオバスノキ,4,6,4,
1,B2,オガラバナ,0,0.5,0.5,
1,B2,ヒメウスノキ,0,0.5,0.5,
1,B2,ミネカエデ,5,10,20,
1,B2,ムラサキヤシオツツジ,0,0.5,0.5,
1,C,イワナシ,0.5,0.5,0.5,
1,C,コイワカガミ,0.5,0.5,0.5,
1,C,ゴゼンタチバナ,0,1,1,
1,C,シノブカグマ,0.5,0.5,0.5,
1,C,ショウジョウバカマ,2,2,0.5,
1,C,ツマトリソウ,0.5,0,0.5,
1,C,ツルリンドウ,0.5,1,0.5,
1,C,ヒメタケシマラン,0,0.5,0.5,0.451388889
1,C,マイヅルソウ,1,0,0.5,
1,C,ミズバショウ,5,10,10,
1,C,ミツバオウレン,0.5,0.5,0.5,
1,C,ミヤマカンスゲ,5,8,3,
1,C,ヤマソテツ,0,2,3,
1,C,キソチドリ,0.5,0,,
1,C,ゴゼンタチバナ,2,0,1,
1,C,チゴユリ,1,0,0.5,
1,C,ヤマソテツ,3,0,,
1,S,チシマザサ,9,100,70,
2,A1,オオシラビソ,5,20,20,
2,A2,オオシラビソ,6,10,0,
2,A2,ナナカマド,5,15,10,よくわからない
2,B1,ナナカマド,4,15,10,
2,B1,ミネカエデ,,,4,
2,B2,オオカメノキ,2,0,0.5,
2,B2,オオシラビソ,4,8,35,
2,B2,オオバスノキ,3,2,0.5,
2,B2,オガラバナ,2,2,0.5,
2,B2,クロウスゴ,0.5,0,0.5,
2,C,イワナシ,0,0.5,0.5,
2,C,コイワカガミ,0.5,0,0.5,
2,C,ショウジョウバカマ,1,1,0.5,
2,C,ツルリンドウ,0.5,1,0.5,
2,C,マイヅルソウ,0.5,0,0.5,
2,C,ミヤマカンスゲ,4,8,5,
2,C,ミヤマワラビ,0.5,0,1,
2,C,ヤマソテツ,0,0.5,0.5,
2,C,ゴゼンタチバナ,1,0,0.5,
2,C,チゴユリ,0.5,0,0.5,
2,C,サンカヨウ,,,0.5,
2,C,ツマトリソウ,,,0.5,
2,C,ヒメタケシマラン,,,0.5,
