"サブプロット","階層","種名","DK1999","被度2006","被度2012","被度2018","X","memo","X.1","DK2006","id_note"
"1","B2","オオカメノキ",0,1,0.5,0.5,"","","","1","1"
"1","B2","オオシラビソ",4,5,0.5,1,"","","","4","2"
"1","B2","オオバスノキ",4,6,4,4,"","","","4","3"
"1","B2","オガラバナ",0,0.5,0.5,0.5,"","","","0.5","4"
"1","B2","ヒメウスノキ",0,0.5,0.5,0.2,"","","","0.5","5"
"1","B2","ミネカエデ",5,10,20,10,"","","","5","6"
"1","B2","ムラサキヤシオツツジ",0,0.5,0.5,0.5,"","","","0.5","7"
"1","C","イワナシ",0.5,0.5,0.5,0.1,"","","","0.5","8"
"1","C","キソチドリ",0.5,0,0,0,"","","","0","21"
"1","C","コイワカガミ",0.5,0.5,0.5,0.1,"","","","0.5","9"
"1","C","ゴゼンタチバナ",2,1,2,1.5,"","","","1","10_22"
"1","C","ゴゼンタチバナ",2,0,1,0,"","","","0","22"
"1","C","シノブカグマ",0.5,0.5,0.5,0.5,"","","","0.5","11"
"1","C","ショウジョウバカマ",2,2,0.5,0.5,"","","","2","12"
"1","C","チゴユリ",1,0,0.5,0.1,"","","","0","23"
"1","C","ツマトリソウ",0.5,0,0.5,0.1,"","","","0","13"
"1","C","ツルリンドウ",0.5,1,0.5,0.1,"","","","1","14"
"1","C","ヒメタケシマラン",0,0.5,0.5,0.2,"","10:50","","0.5","15"
"1","C","マイヅルソウ",1,0,0.5,0.2,"","","","0","16"
"1","C","ミズバショウ",5,10,10,15,"","","","5","17"
"1","C","ミツバオウレン",0.5,0.5,0.5,0.1,"","","","0.5","18"
"1","C","ミヤマカンスゲ",5,8,3,7,"","","","4","19"
"1","C","ヤマソテツ",0,2,3,3,"","","","2","20"
"1","C","ヤマソテツ",3,0,0,0,"","","","0","24"
"1","S","チシマザサ",9,100,70,80,"","","","10","25"
"2","B2","オオカメノキ",2,0,0.5,1,"","","","0","26"
"2","B2","オオシラビソ",4,8,35,5,"","","","4","27"
"2","B2","オオバスノキ",3,2,0.5,4,"","","","2","28"
"2","B2","オガラバナ",2,2,0.5,0,"","","","2","29"
"2","B2","クロウスゴ",0.5,0,0.5,0.5,"","","","0","30"
"2","B2","ナナカマド",0,0,0,0.5,"","","","","48"
"2","B2","ミネカエデ",0,0,0,1,"","","","","47"
"2","C","イワナシ",0,0.5,0.5,0.1,"","","","0.5","31"
"2","C","コイワカガミ",0.5,0,0.5,0.1,"","","","0","32"
"2","C","ゴゼンタチバナ",1,0,0.5,0.2,"","","","0","39"
"2","C","サンカヨウ",0,0,0.5,0,"","","","","41"
"2","C","シノブカグマ",0,0,0.5,0.1,"","","","","45"
"2","C","ショウジョウバカマ",1,1,0.5,0.1,"","","","1","33"
"2","C","チゴユリ",0.5,0,0.5,0.1,"","","","0","40"
"2","C","ツマトリソウ",0,0,0.5,0.1,"","","","","42"
"2","C","ツルリンドウ",0.5,1,0.5,0.1,"","","","1","34"
"2","C","ヒメタケシマラン",0,0,0.5,0.1,"","","","","43"
"2","C","ヒメノガリヤス",0,0,0.5,0.1,"","10:24","","","44"
"2","C","マイヅルソウ",0.5,0,0.5,0.1,"","","","0","35"
"2","C","ミツバオウレン",0,0,0,0.1,"","","","","46"
"2","C","ミヤマカンスゲ",4,8,5,3,"","","","4","36"
"2","C","ミヤマワラビ",0.5,0,1,0,"","","","0","37"
"2","C","ヤマソテツ",0,0.5,0.5,0.5,"","","","0.5","38"
"2","C","ヤマドリゼンマイ",0,0,0,1,"","","","","49"
"2","S","チシマザサ",10,100,90,90,"","","","10","50"
"3","B2","オオカメノキ",0.5,0,0,0,"","","","0","51"
"3","B2","オオシラビソ",2,0.5,0.5,3,"","","","0.5","52"
"3","B2","オオバスノキ",3,3,4,2,"","","","3","53"
"3","B2","クロウスゴ",0.5,0,0.5,0.5,"","B1かどうかわかりにくい","","0","54"
"3","B2","ナナカマド",3,10,0,1.5,"","","","5","55"
"3","B2","ミネカエデ",3,3,4,3,"","","","3","56"
"3","C","イワナシ",0.5,0.5,0.5,0.1,"","","","0.5","57"
"3","C","コイワカガミ",0.5,0,0.5,0.3,"","","","0","58"
"3","C","ゴゼンタチバナ",0,4,1,0.5,"","","","3","59"
"3","C","ゴゼンタチバナ",4,0,0.5,0,"","","","0","72"
"3","C","ショウジョウバカマ",1,2,0.5,0.2,"","","","2","60"
"3","C","シラネワラビ",0,0.5,0,0,"","","","0.5","61"
"3","C","チゴユリ",1,0,0.5,0.1,"","","","0","73"
"3","C","ツマトリソウ",0.5,0,0.5,0.1,"","","","0","62"
"3","C","ツルリンドウ",0.5,2,0.5,0.1,"","","","2","63"
"3","C","ヒメゴヨウイチゴ",0.5,0,0,0,"","","","0","64"
"3","C","ヒメタケシマラン",0,1,0.5,0.1,"","","","1","65"
"3","C","ヒロハユキザサ",0,0.5,1,0.5,"","","","0.5","66"
"3","C","マイヅルソウ",0.5,0,0,0,"","","","0","67"
"3","C","ミズバショウ",1,2,9,9,"","","","2","68"
"3","C","ミツバオウレン",0.5,0,0.5,0.1,"","","","0","69"
"3","C","ミヤマカンスゲ",6,25,7,9,"","","","6","70"
"3","C","ヤマソテツ",0,5,1,2,"","","","4","71"
"3","C","ヤマソテツ",4,0,1,0,"","","","0","74"
"3","C","ヤマドリゼンマイ",0,0,0,0.2,"11:48","","","","77"
"3","C","ユキザサ",0.5,0,0,0,"","","","0","75"
"3","S","チシマザサ",9,95,95,95,"","","","9","76"
"4","B2","オオカメノキ",0,0,0.5,0.2,"","","","","85"
"4","B2","オオシラビソ",4,8,0.5,1,"","","","4","78"
"4","B2","オオバスノキ",3,3,1,4,"","","","3","79"
"4","B2","オガラバナ",2,2,0,0,"","","","2","80"
"4","B2","クロウスゴ",1,1,0,0.2,"","","","1","81"
"4","B2","ダケカンバ",2,0,0,0,"","","","0","82"
"4","B2","ナナカマド",0,2,0,1,"","","","2","83"
"4","B2","ヒメウスノキ",0,0,0,0.2,"","","","","106"
"4","B2","ミネカエデ",4,6,0.5,0.5,"","","","4","84"
"4","B2","ミヤマホツツジ",0,0,0.5,0,"","","","","86"
"4","C","イワナシ",0,0,0.5,0.1,"","","","","102"
"4","C","オオバショリマ",0,0,0.5,0.3,"","","","","104"
"4","C","コイワカガミ",0.5,0,0.5,0.2,"","","","0","87"
"4","C","ゴゼンタチバナ",0,2,0.5,0.5,"","","","2","88"
"4","C","ゴゼンタチバナ",2,0,0.5,0,"","","","0","98"
"4","C","サンカヨウ",0,0,0.5,0,"","","","","101"
"4","C","シノブカグマ",0.5,0,0,0,"","","","0","89"
"4","C","ショウジョウバカマ",0.5,1,0.5,0.5,"","","","1","90"
"4","C","チゴユリ",1,0,0.5,0,"","","","0","99"
"4","C","ツクバネソウ",0,0.5,0.5,0.1,"","","","0.5","91"
"4","C","ツルリンドウ",0.5,0,0,0,"","","","0","92"
"4","C","ヒメタケシマラン",0,2,0.5,0.2,"","","","2","93"
"4","C","マイヅルソウ",0,0,0.5,0.1,"","","","","103"
"4","C","ミズバショウ",4,5,3,3,"","","","4","94"
"4","C","ミツバオウレン",0,0.5,0.5,0.1,"","","","0.5","95"
"4","C","ミヤマカンスゲ",5,18,13,14,"","","","5","96"
"4","C","ヤマソテツ",0,5,1,0,"","","","4","97"
"4","C","ヤマソテツ",3,0,1,3,"","","","0","100"
"4","S","チシマザサ",9,100,95,95,"","","","10","105"
"5","B2","オオカメノキ",2,2,0.5,0.5,"","","","2","107"
"5","B2","オオシラビソ",3,0,0.5,2,"","","","0","108"
"5","B2","オオバスノキ",3,3,0.5,4,"","","","3","109"
"5","B2","オガラバナ",0,0,0,0.2,"","","","","135"
"5","B2","ナナカマド",0.5,0.5,0.5,0.5,"","","","0.5","110"
"5","B2","ヒメウスノキ",0,0,0.5,0.2,"","","","","133"
"5","B2","ミネカエデ",5,20,2,5,"","","","6","111"
