サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,被度2025,date2025,photo2025,memo,DK2006,id_note,X,X.1
1,B2,オオカメノキ,0,1,0.5,0.5,0.1,2025/08/22,,,1,1,,
1,B2,オオシラビソ,4,5,0.5,1,0.8,2025/08/22,,,4,2,,
1,B2,オオバスノキ,4,6,4,4,2.5,2025/08/22,,,4,3,,
1,B2,オガラバナ,0,0.5,0.5,0.5,,2025/08/22,,,0.5,4,,
1,B2,ヒメウスノキ,0,0.5,0.5,0.2,0.6,2025/08/22,,,0.5,5,,
1,B2,ミネカエデ,5,10,20,10,4,2025/08/22,,,5,6,,
1,B2,ムラサキヤシオツツジ,0,0.5,0.5,0.5,1,2025/08/22,,,0.5,7,,
1,C,イワカガミ,0.5,0.5,0.5,0.1,0.3,2025/08/22,,,0.5,8,,
1,C,イワナシ,0.5,0.5,0.5,0.1,0.1,2025/08/22,,,0,21,,
1,C,キソチドリ,0.5,0,0,0,,2025/08/22,,,0.5,9,,
1,C,ゴゼンタチバナ,4,1,3,1.5,2.2,2025/08/22,,,1,10_22,,
1,C,シノブカグマ,0.5,0.5,0.5,0.5,0.1,2025/08/22,,,0.5,11,,
1,C,ショウジョウバカマ,2,2,0.5,0.5,0.8,2025/08/22,,,2,12,,
1,C,チゴユリ,1,0,0.5,0.1,0.1,2025/08/22,,,0,23,,
1,C,ツマトリソウ,0.5,0,0.5,0.1,,2025/08/22,,,0,13,,
1,C,ツルリンドウ,0.5,1,0.5,0.1,0.2,2025/08/22,,,1,14,,
1,C,ヒメタケシマラン,0,0.5,0.5,0.2,,2025/08/22,,10:50:00,0.5,15,,
1,C,マイヅルソウ,1,0,0.5,0.2,0.1,2025/08/22,,,0,16,,
1,C,ミズバショウ,5,10,10,15,12,2025/08/22,,,5,17,,
1,C,ミツバオウレン,0.5,0.5,0.5,0.1,0.3,2025/08/22,,,0.5,18,,
1,C,ミヤマカンスゲ,5,8,3,7,4.5,2025/08/22,,,4,19,,
1,C,ヤマソテツ,3,2,3,3,4.4,2025/08/22,,,2,20,,
1,S,チシマザサ,9,100,70,80,80,2025/08/22,,,0,24,,
,,タケシラン,,,,,0.4,2025/08/22,,,,,,
,,ダケカンバ,,,,,0.1,2025/08/22,,,,,,
2,B2,オオカメノキ,2,0,0.5,1,1,2025/08/22,,,10,25,,
2,B2,オオシラビソ,4,8,35,5,1.6,2025/08/22,,,0,26,,
2,B2,オオバスノキ,3,2,0.5,4,5.8,2025/08/22,,,4,27,,
2,B2,オガラバナ,2,2,0.5,0,1,2025/08/22,,,2,28,,
2,B2,クロウスゴ,0.5,0,0.5,0.5,0.4,2025/08/22,,,2,29,,
2,B2,ナナカマド,0,0,0,0.5,,2025/08/22,,,0,30,,
2,B2,ミネカエデ,0,0,0,1,2.6,2025/08/22,,,,48,,
2,C,イワカガミ,0.5,0,0.5,0.1,0.4,2025/08/22,,,,47,,
2,C,イワナシ,0,0.5,0.5,0.1,0.1,2025/08/22,,,0.5,31,,
2,C,ゴゼンタチバナ,1,0,0.5,0.2,0.2,2025/08/22,,,0,32,,
2,C,サンカヨウ,0,0,0.5,0,,2025/08/22,,,0,39,,
2,C,シノブカグマ,0,0,0.5,0.1,0.3,2025/08/22,,,,41,,
2,C,ショウジョウバカマ,1,1,0.5,0.1,0.8,2025/08/22,,,,45,,
2,C,チゴユリ,0.5,0,0.5,0.1,,2025/08/22,,,1,33,,
2,C,ツマトリソウ,0,0,0.5,0.1,0.2,2025/08/22,,,0,40,,
2,C,ツルリンドウ,0.5,1,0.5,0.1,0.2,2025/08/22,,,,42,,
2,C,ヒメタケシマラン,0,0,0.5,0.1,,2025/08/22,,,1,34,,
2,C,ヒメノガリヤス,0,0,0.5,0.1,,2025/08/22,,,,43,,
2,C,マイヅルソウ,0.5,0,0.5,0.1,0.1,2025/08/22,,10:24:00,,44,,
2,C,ミツバオウレン,0,0,0,0.1,0.1,2025/08/22,,,0,35,,
2,C,ミヤマカンスゲ,4,8,5,3,5,2025/08/22,,,,46,,
2,C,ミヤマワラビ,0.5,0,1,0,0.1,2025/08/22,,,4,36,,
2,C,ヤマソテツ,0,0.5,0.5,0.5,0.7,2025/08/22,,,0,37,,
2,C,ヤマドリゼンマイ,0,0,0,1,1,2025/08/22,,,0.5,38,,
2,S,チシマザサ,10,100,90,90,80,2025/08/22,,,,49,,
,,ヒメウスノキ,,,,,0.8,2025/08/22,,,,,,
,,タケシラン,,,,,0.4,2025/08/22,,,,,,
,,ミヤマアキノキリンソウ,,,,,0.3,2025/08/22,,,,,,
,,ミヤマセンキュウ,,,,,0.1,2025/08/22,,,,,,
,,オオバショウマ,,,,,0.1,2025/08/22,,,,,,
,,コガネイチゴ,,,,,0.1,2025/08/22,,,,,,
,,オオバショリマ,,,,,0.1,2025/08/22,00:10:10,,,,,
3,B2,オオカメノキ,0.5,0,0,0,0.1,2025/08/22,,,10,50,,
3,B2,オオシラビソ,2,0.5,0.5,3,1.5,2025/08/22,,,0,51,,
3,B2,オオバスノキ,3,3,4,2,2.4,2025/08/22,,,0.5,52,,
3,B2,クロウスゴ,0.5,0,0.5,0.5,0.1,2025/08/22,,,3,53,,
3,B2,ナナカマド,3,10,0,1.5,0.1,2025/08/22,,B1かどうかわかりにくい,0,54,,
3,B2,ミネカエデ,3,3,4,3,3.2,2025/08/22,,,5,55,,
3,C,イワカガミ,0.5,0,0.5,0.3,0.4,2025/08/22,,,3,56,,
3,C,イワナシ,0.5,0.5,0.5,0.1,0.9,2025/08/22,,,0.5,57,,
3,C,ゴゼンタチバナ,4,4,1.5,0.5,0.5,2025/08/22,,,0,58,,
3,C,ショウジョウバカマ,1,2,0.5,0.2,0.1,2025/08/22,,,3,59,,
3,C,シラネワラビ,0,0.5,0,0,,2025/08/22,,,2,60,,
3,C,チゴユリ,1,0,0.5,0.1,0.1,2025/08/22,,,0.5,61,,
3,C,ツマトリソウ,0.5,0,0.5,0.1,,2025/08/22,,,0,73,,
3,C,ツルリンドウ,0.5,2,0.5,0.1,0.1,2025/08/22,,,0,62,,
3,C,ヒメゴヨウイチゴ,0.5,0,0,0,,2025/08/22,,,2,63,,
3,C,ヒメタケシマラン,0,1,0.5,0.1,,2025/08/22,,,0,64,,
3,C,ヒロハユキザサ,0,0.5,1,0.5,,2025/08/22,,,1,65,,
3,C,マイヅルソウ,0.5,0,0,0,,2025/08/22,,,0.5,66,,
3,C,ミズバショウ,1,2,9,9,12.3,2025/08/22,,,0,67,,
3,C,ミツバオウレン,0.5,0,0.5,0.1,,2025/08/22,,,2,68,,
3,C,ミヤマカンスゲ,6,25,7,9,12,2025/08/22,,,0,69,,
3,C,ヤマソテツ,4,5,2,2,1.3,2025/08/22,,,6,70,,
3,C,ヤマドリゼンマイ,0,0,0,0.2,,2025/08/22,,,4,71,,
3,C,ユキザサ,0.5,0,0,0,,2025/08/22,,,,77,11:48:00,
3,S,チシマザサ,9,95,95,95,80,2025/08/22,,,0,75,,
,,タケシマラン,,,,,0.2,2025/08/22,,,,,,
,,ヤマブキショウマ,,,,,0.1,2025/08/22,,,,,,
,,オオバショリマ,,,,,0.5,2025/08/22,,,,,,
,,コバイケイソウ,,,,,0.1,2025/08/22,,,,,,
,,ヒメウスノキ,,,,,0.1,2025/08/22,,,,,,
4,B2,オオカメノキ,0,0,0.5,0.2,1.3,2025/08/22,,,9,76,,
4,B2,オオシラビソ,4,8,0.5,1,0.1,2025/08/22,,,,85,,
4,B2,オオバスノキ,3,3,1,4,3.2,2025/08/22,,,4,78,,
4,B2,オガラバナ,2,2,0,0,1,2025/08/22,,,3,79,,
4,B2,クロウスゴ,1,1,0,0.2,,2025/08/22,,,2,80,,
4,B2,ダケカンバ,2,0,0,0,,2025/08/22,,,1,81,,
4,B2,ナナカマド,0,2,0,1,0.1,2025/08/22,,,0,82,,
4,B2,ヒメウスノキ,0,0,0,0.2,0.3,2025/08/22,,,2,83,,
4,B2,ミネカエデ,4,6,0.5,0.5,1.3,2025/08/22,,,,106,,
4,B2,ミヤマホツツジ,0,0,0.5,0,,2025/08/22,,,4,84,,
4,C,イワカガミ,0.5,0,0.5,0.2,0.7,2025/08/22,,,,86,,
4,C,イワナシ,0,0,0.5,0.1,0.3,2025/08/22,,,,102,,
4,C,オオバショリマ,0,0,0.5,0.3,0.2,2025/08/22,,,,104,,
4,C,ゴゼンタチバナ,2,2,1,0.5,1,2025/08/22,,,0,87,,
4,C,サンカヨウ,0,0,0.5,0,,2025/08/22,,,2,88,,
4,C,シノブカグマ,0.5,0,0,0,0.1,2025/08/22,,,,101,,
4,C,ショウジョウバカマ,0.5,1,0.5,0.5,1.3,2025/08/22,,,0,89,,
4,C,チゴユリ,1,0,0.5,0,0.1,2025/08/22,,,1,90,,
4,C,ツクバネソウ,0,0.5,0.5,0.1,,2025/08/22,,,0,99,,
4,C,ツルリンドウ,0.5,0,0,0,,2025/08/22,,,0.5,91,,
4,C,ヒメタケシマラン,0,2,0.5,0.2,,2025/08/22,,,0,92,,
4,C,マイヅルソウ,0,0,0.5,0.1,0.1,2025/08/22,,,2,93,,
4,C,ミズバショウ,4,5,3,3,5.9,2025/08/22,,,,103,,
4,C,ミツバオウレン,0,0.5,0.5,0.1,,2025/08/22,,,4,94,,
4,C,ミヤマカンスゲ,5,18,13,14,14,2025/08/22,,,0.5,95,,
4,C,ヤマソテツ,3,5,2,3,3.4,2025/08/22,,,5,96,,
4,S,チシマザサ,9,100,95,95,80,2025/08/22,,,4,97,,
,,タケシマラン,,,,,2.1,2025/08/22,,,,,,
,,エンレイソウ,,,,,0.1,2025/08/22,,,,,,
,,サンカヨウ,,,,,0.1,2025/08/22,00:10:42,,,,,
5,B2,オオカメノキ,2,2,0.5,0.5,1.6,2025/08/22,,,10,105,,
5,B2,オオシラビソ,3,0,0.5,2,1.5,2025/08/22,,,2,107,,
5,B2,オオバスノキ,3,3,0.5,4,1.1,2025/08/22,,,0,108,,
5,B2,オガラバナ,0,0,0,0.2,,2025/08/22,,,3,109,,
5,B2,ナナカマド,0.5,0.5,0.5,0.5,0.5,2025/08/22,,,,135,,
5,B2,ヒメウスノキ,0,0,0.5,0.2,0.5,2025/08/22,,,0.5,110,,
5,B2,ミネカエデ,5,20,2,5,3.5,2025/08/22,,,,133,,
5,C,イワカガミ,0,0.5,0.5,0.3,0.3,2025/08/22,,,6,111,,
5,C,イワナシ,0,0.5,0,0.1,0.1,2025/08/22,,,0.5,112,,
5,C,エンレイソウ,0,0.5,0,0,,2025/08/22,,,0.5,113,,
5,C,キソチドリ,0.5,0,0,0,,2025/08/22,,,0,127,,
5,C,ゴゼンタチバナ,2,3,1,0.2,0.7,2025/08/22,,,0.5,114,,
5,C,シノブカグマ,0,0.5,0,0.1,0.3,2025/08/22,,,3,115,,
5,C,ショウジョウバカマ,2,2,0.5,0.2,0.2,2025/08/22,,,0.5,116,,
5,C,シラネワラビ,1,1,0.5,0,0.3,2025/08/22,,,2,117,,
5,C,チゴユリ,2,0,0.5,0,,2025/08/22,,photo,1,118,,
5,C,ツクバネソウ,0,0,0.5,0,,2025/08/22,,,0,129,,
5,C,ツルリンドウ,2,2,0.5,0.1,0.1,2025/08/22,,,,131,,
5,C,ヒメタケシマラン,0,0.5,0.5,0.1,,2025/08/22,,,2,119,,
5,C,ヒロハユキザサ,0,0.5,0.5,0.2,0.1,2025/08/22,,12:46:00,0.5,120,,
