サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,,memo,,DK2006
1,B2,オオカメノキ,0,1,0.5,0.5,,,,1
1,B2,オオシラビソ,4,5,0.5,1,,,,4
1,B2,オオバスノキ,4,6,4,4,,,,4
1,B2,オガラバナ,0,0.5,0.5,0.5,,,,0.5
1,B2,ヒメウスノキ,0,0.5,0.5,0.2,,,,0.5
1,B2,ミネカエデ,5,10,20,10,,,,5
1,B2,ムラサキヤシオツツジ,0,0.5,0.5,0.5,,,,0.5
1,C,イワナシ,0.5,0.5,0.5,0.1,,,,0.5
1,C,コイワカガミ,0.5,0.5,0.5,0.1,,,,0.5
1,C,ゴゼンタチバナ,0,1,1,1.5,,,,1
1,C,シノブカグマ,0.5,0.5,0.5,0.5,,,,0.5
1,C,ショウジョウバカマ,2,2,0.5,0.5,,,,2
1,C,ツマトリソウ,0.5,0,0.5,0.1,,,,0
1,C,ツルリンドウ,0.5,1,0.5,0.1,,,,1
1,C,ヒメタケシマラン,0,0.5,0.5,0.2,,10:50,,0.5
1,C,マイヅルソウ,1,0,0.5,0.2,,,,0
1,C,ミズバショウ,5,10,10,15,,,,5
1,C,ミツバオウレン,0.5,0.5,0.5,0.1,,,,0.5
1,C,ミヤマカンスゲ,5,8,3,7,,,,4
1,C,ヤマソテツ,0,2,3,3,,,,2
1,C,キソチドリ,0.5,0,,,,,,0
1,C,ゴゼンタチバナ,2,0,1,,,,,0
1,C,チゴユリ,1,0,0.5,0.1,,,,0
1,C,ヤマソテツ,3,0,,,,,,0
1,S,チシマザサ,9,100,70,80,,,,10
2,B2,オオカメノキ,2,0,0.5,1,,,,0
2,B2,オオシラビソ,4,8,35,5,,,,4
2,B2,オオバスノキ,3,2,0.5,4,,,,2
2,B2,オガラバナ,2,2,0.5,,,,,2
2,B2,クロウスゴ,0.5,0,0.5,0.5,,,,0
2,C,イワナシ,0,0.5,0.5,0.1,,,,0.5
2,C,コイワカガミ,0.5,0,0.5,0.1,,,,0
2,C,ショウジョウバカマ,1,1,0.5,0.1,,,,1
2,C,ツルリンドウ,0.5,1,0.5,0.1,,,,1
2,C,マイヅルソウ,0.5,0,0.5,0.1,,,,0
2,C,ミヤマカンスゲ,4,8,5,3,,,,4
2,C,ミヤマワラビ,0.5,0,1,,,,,0
2,C,ヤマソテツ,0,0.5,0.5,0.5,,,,0.5
2,C,ゴゼンタチバナ,1,0,0.5,0.2,,,,0
2,C,チゴユリ,0.5,0,0.5,0.1,,,,0
2,C,サンカヨウ,,,0.5,,,,,
2,C,ツマトリソウ,,,0.5,0.1,,,,
2,C,ヒメタケシマラン,,,0.5,0.1,,,,
2,C,ヒメノガリヤス,,,0.5,0.1,,10:24,,
2,C,シノブカグマ,,,0.5,0.1,,,,
2,,ミツバオウレン,,,,0.1,,,,
2,,ミネカエデ,,,,1,,,,
2,,ナナカマド,,,,0.5,,,,
2,,ヤマドリゼンマイ,,,,1,,,,
2,S,チシマザサ,10,100,90,90,,,,10
3,B2,オオカメノキ,0.5,0,,,,,,0
3,B2,オオシラビソ,2,0.5,0.5,3,,,,0.5
3,B2,オオバスノキ,3,3,4,2,,,,3
3,B2,クロウスゴ,0.5,0,0.5,0.5,,B1かどうかわかりにくい,,0
3,B2,ナナカマド,3,10,,1.5,,,,5
3,B2,ミネカエデ,3,3,4,3,,,,3
3,C,イワナシ,0.5,0.5,0.5,0.1,,,,0.5
3,C,コイワカガミ,0.5,0,0.5,0.3,,,,0
3,C,ゴゼンタチバナ,0,4,1,0.5,,,,3
3,C,ショウジョウバカマ,1,2,0.5,0.2,,,,2
3,C,シラネワラビ,0,0.5,,,,,,0.5
3,C,ツマトリソウ,0.5,0,0.5,0.1,,,,0
3,C,ツルリンドウ,0.5,2,0.5,0.1,,,,2
3,C,ヒメゴヨウイチゴ,0.5,0,,,,,,0
3,C,ヒメタケシマラン,0,1,0.5,0.1,,,,1
3,C,ヒロハユキザサ,0,0.5,1,0.5,,,,0.5
3,C,マイヅルソウ,0.5,0,,,,,,0
3,C,ミズバショウ,1,2,9,9,,,,2
3,C,ミツバオウレン,0.5,0,0.5,0.1,,,,0
3,C,ミヤマカンスゲ,6,25,7,9,,,,6
3,C,ヤマソテツ,0,5,1,2,,,,4
3,C,ゴゼンタチバナ,4,0,0.5,,,,,0
3,C,チゴユリ,1,0,0.5,0.1,,,,0
3,C,ヤマソテツ,4,0,1,,,,,0
3,C,ユキザサ,0.5,0,,,,,,0
3,S,チシマザサ,9,95,95,95,,,,9
3,,ヤマドリゼンマイ,,,,0.2,11:48,,,
4,B2,オオシラビソ,4,8,0.5,1,,,,4
