layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
B2,アクシバ,bs,0,0,0.07692307692307693,0,0,-,-,Ⅰ,-,-,0,0,0.02,0,0,0,0,1.2403473458920846,0,0,0
B2,ウラジロナナカマド,bs,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,-,Ⅰ,Ⅰ,Ⅰ,-,0,0.08,0.08,0.12,0,0,2.4806946917841692,2.4806946917841692,3.038218101251,0,0
B2,ウラジロヨウラク,bs,0,0,0.07692307692307693,0,0,-,-,Ⅰ,-,-,0,0,0.02,0,0,0,0,1.2403473458920846,0,0,0
B2,オオカメノキ,bs,0.4230769230769231,0.46153846153846156,0.5384615384615384,0.5769230769230769,0.46153846153846156,Ⅲ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,0.78,0.74,0.724,0.476,0.34,18.16590212458495,18.480759225163382,19.74452212250663,16.57152330401115,12.526894145121405,1
B2,オオシラビソ,cl,0.8461538461538461,0.7692307692307693,0.8846153846153846,0.8846153846153846,0.8076923076923077,Ⅴ,Ⅳ,Ⅴ,Ⅴ,Ⅴ,3.1,5.04,4.464,2.536,1.68,51.21598308220709,62.264942599532496,62.840457325858765,47.364381294223776,36.83643681089523,1
B2,オオバスノキ,bs,0.5384615384615384,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.6923076923076923,Ⅲ,Ⅳ,Ⅳ,Ⅳ,Ⅳ,1.5,2.76,2.164,1.852,1.136,28.419928002940257,46.076858867298256,40.79969833975963,35.80717590307627,28.04392159562457,1
B2,オガラバナ,bs,0.5384615384615384,0.46153846153846156,0.5769230769230769,0.5,0.5769230769230769,Ⅲ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,1.92,3.54,2.14,1,0.8240000000000001,32.15347809874001,40.4208628538055,35.13709414017307,22.360679774997898,21.803316614327628,1
B2,オノエヤナギ,bl,0.23076923076923078,0.2692307692307692,0.19230769230769232,0.19230769230769232,0.15384615384615385,Ⅱ,Ⅱ,Ⅰ,Ⅰ,Ⅰ,0.84,1.58,0.84,0.8,0.28,13.922864426767713,20.624854311839766,12.70977818604485,12.403473458920846,6.563301233138936,1
B2,クマイチゴ,bs,0,0.11538461538461539,0,0.07692307692307693,0.07692307692307693,-,Ⅰ,-,Ⅰ,Ⅰ,0,0.04,0,0.04,0.004,0,2.1483446221182985,0,1.7541160386140586,0.554700196225229,0
B2,クロウスゴ,bs,0.6153846153846154,0.4230769230769231,0.5769230769230769,0.5769230769230769,0.5769230769230769,Ⅳ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,0.78,0.6,0.504,0.388,0.184,21.908902300206645,15.932550136313827,17.051956801764153,14.961489025032028,10.30309886169429,1
B2,クロツリバナ,bs,0.3076923076923077,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.46153846153846156,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅲ,0.68,1,2.704,0.668,0.796,14.464811413591578,18.605210188381267,30.594117081556703,15.206274008802065,19.167279811820336,1
B2,コメツガ,cl,0,0,0,0.07692307692307693,0,-,-,-,Ⅰ,-,0,0,0,0.04,0,0,0,0,1.7541160386140586,0,0
B2,タカネナナカマド,bs,0.07692307692307693,0,0,0,0,Ⅰ,-,-,-,-,0.08,0,0,0,0,2.4806946917841692,0,0,0,0,0
B2,タニウツギ,bs,0,0,0,0,0.07692307692307693,-,-,-,-,Ⅰ,0,0,0,0,0.04,0,0,0,0,1.7541160386140586,0
B2,ダケカンバ,bl,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.4230769230769231,0.4230769230769231,Ⅱ,Ⅱ,Ⅱ,Ⅲ,Ⅲ,1.68,3.3,0.8,0.948,0.18,25.4195563720897,35.62626515972126,17.541160386140582,20.02690497997439,8.726617108241093,1
B2,ナナカマド,bs,0.5,0.6153846153846154,0.5769230769230769,0.7692307692307693,0.6538461538461539,Ⅲ,Ⅳ,Ⅲ,Ⅳ,Ⅳ,1.42,3.1,1.72,1.484,0.908,26.645825188948454,43.677137127933506,31.500915737605023,33.786661000141194,24.36580201208874,1
B2,ハリブキ,bs,0.2692307692307692,0.38461538461538464,0.2692307692307692,0.4230769230769231,0.38461538461538464,Ⅱ,Ⅱ,Ⅱ,Ⅲ,Ⅱ,0.14,0.2,0.108,0.144,0.288,6.139406135149204,8.770580193070291,5.3923022056375025,7.80532362705589,10.524696231684349,1
B2,バッコヤナギ,bl,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.19230769230769232,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.1,0.42,0.42,0.46,0.26,3.3968311024337874,6.961432213383857,6.961432213383857,8.412444993533732,7.0710678118654755,1
