"","階層","種名","form","F1999","F2006","F2012","F2018","f1999","f2006","f2012","f2018","V1999","V2006","V2012","V2018","v1999","v2006","v2012","v2018","集計"
"1","B2","アクシバ","bs",0,0,4,0,"-","-","Ⅰ","-",0,0,0.02,0,0,0,0.894427190999916,0,""
"2","B2","ウラジロナナカマド","bs",0,4,4,4,"-","Ⅰ","Ⅰ","Ⅰ",0,0.08,0.08,0.12,0,1.78885438199983,1.78885438199983,2.19089023002066,""
"3","B2","ウラジロヨウラク","bs",0,0,4,0,"-","-","Ⅰ","-",0,0,0.02,0,0,0,0.894427190999916,0,""
"4","B2","オオカメノキ","bs",40,44,52,56,"Ⅱ","Ⅲ","Ⅲ","Ⅲ",0.78,0.74,0.724,0.476,17.6635217326557,17.5499287747842,18.8042548376691,16.7332005306815,"*"
"5","B2","オオシラビソ","cl",84,76,88,88,"Ⅴ","Ⅳ","Ⅴ","Ⅴ",3.1,5.04,4.464,2.536,51.0294032886923,44.7928565733421,41.9523539268061,39.5777715390849,"*"
"6","B2","オオバスノキ","bs",52,76,76,68,"Ⅲ","Ⅳ","Ⅳ","Ⅳ",1.5,2.76,2.164,1.852,27.9284800875379,40.8900966005217,33.9882332579968,31.0741049750431,"*"
"7","B2","オガラバナ","bs",52,44,56,48,"Ⅲ","Ⅲ","Ⅲ","Ⅲ",1.92,3.54,2.14,1,31.5974682530104,26.0307510456383,28.1992907712233,20.5523721258642,"*"
"8","B2","オノエヤナギ","bl",20,24,16,16,"Ⅰ","Ⅱ","Ⅰ","Ⅰ",0.84,1.58,0.84,0.8,12.9614813968157,14.6969384566991,9.1214034007931,9.1214034007931,"*"
"9","B2","クマイチゴ","bs",0,8,0,4,"-","Ⅰ","-","Ⅰ",0,0.04,0,0.02,0,1.78885438199983,0,0.894427190999916,""
"10","B2","クロウスゴ","bs",60,40,56,56,"Ⅲ","Ⅱ","Ⅲ","Ⅲ",0.76,0.58,0.484,0.368,21.3541565040626,14.6969384566991,16.7332005306815,15.3362316101447,"*"
"11","B2","クロツリバナ","bs",28,32,32,32,"Ⅱ","Ⅱ","Ⅱ","Ⅱ",0.68,1,2.704,0.668,13.7985506485283,16.3951212255354,16,14.0854534893272,"*"
"12","B2","コメツガ","cl",0,0,0,4,"-","-","-","Ⅰ",0,0,0,0.04,0,0,0,1.26491106406735,""
"13","B2","タカネナナカマド","bs",4,0,0,0,"Ⅰ","-","-","-",0.08,0,0,0,1.78885438199983,0,0,0,""
"14","B2","ダケカンバ","bl",36,36,36,40,"Ⅱ","Ⅱ","Ⅱ","Ⅱ",1.68,3.3,0.8,0.948,24.592681838303,22.2890107452081,16.5408585025083,18.3303027798234,"*"
"15","B2","ナナカマド","bs",48,60,56,76,"Ⅲ","Ⅲ","Ⅲ","Ⅳ",1.42,3.1,1.72,1.484,26.1074701953292,33.7638860322683,25.9229627936314,30.6985341669598,"*"
"16","B2","バッコヤナギ","bl",8,8,8,12,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.1,0.42,0.42,0.46,2.82842712474619,4.19523539268061,4.19523539268061,5.58569601750758,"*"
"17","B2","ハリブキ","bs",24,36,24,40,"Ⅱ","Ⅱ","Ⅱ","Ⅱ",0.14,0.2,0.108,0.144,5.79655069847578,8.48528137423857,5.79655069847578,9.38083151964686,"*"
"18","B2","ヒメウスノキ","bs",0,28,40,40,"-","Ⅱ","Ⅱ","Ⅱ",0,0.14,0.428,0.144,0,6.26099033699941,12.9614813968157,9.38083151964686,""
"19","B2","ベニバナイチゴ","bs",4,12,4,12,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.16,0.54,0.08,0.46,2.5298221281347,6.38748776906852,1.78885438199983,6,"*"
"20","B2","ミネカエデ","bs",64,76,88,84,"Ⅳ","Ⅳ","Ⅴ","Ⅴ",2.62,6,3.36,2.376,40.9487484546231,48.3818147654674,44.7928565733421,39.5272058208014,"*"
"21","B2","ミヤマハンノキ","bs",28,44,32,28,"Ⅱ","Ⅲ","Ⅱ","Ⅱ",1.2,1.8,0.9,0.32,18.3303027798234,22.1990990808186,15.3883072493371,9.46572765295939,"*"
"22","B2","ミヤマホツツジ","bs",0,0,4,0,"-","-","Ⅰ","-",0,0,0.02,0,0,0,0.894427190999916,0,""
"23","B2","ムラサキヤシオツツジ","bs",0,8,8,12,"-","Ⅰ","Ⅰ","Ⅰ",0,0.04,0.024,0.036,0,1.78885438199983,1.78885438199983,2.68328157299975,""
"24","C","アイイタドリ","h",0,0,0,4,"-","-","-","Ⅰ",0,0,0,0.004,0,0,0,0.894427190999916,""
"25","C","アカショウマ","h",0,0,8,20,"-","-","Ⅰ","Ⅰ",0,0,0.008,0.24,0,0,1.78885438199983,6.92820323027551,""
"26","C","アキカラマツ","h",4,8,8,4,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.04,0.24,0.08,0.04,1.26491106406735,4,2.5298221281347,1.26491106406735,"*"
"27","C","イ","h",0,0,0,4,"-","-","-","Ⅰ",0,0,0,0.004,0,0,0,0.894427190999916,""
"28","C","イタドリ","h",12,4,8,16,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.48,0.2,0.14,0.92,7.58946638440411,2.5298221281347,3.3466401061363,8.76356092008266,"*"
"29","C","イヌガンソク","f",0,0,0,0,"-","-","-","-",0,0,0,0,0,0,0,0,""
"30","C","イヌワラビ","f",0,24,8,12,"-","Ⅱ","Ⅰ","Ⅰ",0,0.2,0.024,0.064,0,6.92820323027551,1.78885438199983,3.09838667696593,""
"31","C","イワカガミ","h",0,0,4,0,"-","-","Ⅰ","-",0,0,0.04,0,0,0,1.26491106406735,0,""
"32","C","イワナシ","ds",32,36,44,44,"Ⅱ","Ⅱ","Ⅲ","Ⅲ",0.22,0.2,0.192,0.076,8.39047078536121,8.48528137423857,10.2761860629321,9.83869910099907,"*"
"33","C","ウラジロタデ","h",0,0,4,0,"-","-","Ⅰ","-",0,0,0.004,0,0,0,0.894427190999916,0,""
"34","C","エンレイソウ","h",36,80,68,48,"Ⅱ","Ⅳ","Ⅳ","Ⅲ",0.18,0.4,0.24,0.2192,8.04984471899924,17.8885438199983,15.2052622469986,10.733126291999,"*"
"35","C","オオイタドリ","h",16,16,20,20,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.8,3.4,2.36,3.72,11.3137084989848,12.1326007104825,13.2664991614216,14.9666295470958,"*"
"36","C","オオバコ","h",0,0,4,0,"-","-","Ⅰ","-",0,0,0.004,0,0,0,0.894427190999916,0,""
"37","C","オオバショリマ","f",0,32,40,48,"-","Ⅱ","Ⅱ","Ⅲ",0,0.44,0.268,0.2,0,11.3137084989848,10.5830052442584,11.1713920350152,""
"38","C","オオバタケシマラン","h",8,8,4,16,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.06,0.04,0.02,0.064,2.19089023002066,1.78885438199983,0.894427190999916,4,"*"
"39","C","オオハナウド","h",0,0,4,4,"-","-","Ⅰ","Ⅰ",0,0,0.12,0.04,0,0,2.19089023002066,1.26491106406735,""
