"","階層","種名","f1999","v1999","f2006","v2006","f2012","v2012","f2018","v2018"
"1","B2","アクシバ","-",0,"-",0,"Ⅰ",0.894427190999916,"-",0
"2","B2","ウラジロナナカマド","-",0,"Ⅰ",1.78885438199983,"Ⅰ",1.78885438199983,"Ⅰ",2.19089023002066
"3","B2","ウラジロヨウラク","-",0,"-",0,"Ⅰ",0.894427190999916,"-",0
"4","B2","オオカメノキ","Ⅱ",17.6635217326557,"Ⅲ",17.5499287747842,"Ⅲ",18.8042548376691,"Ⅲ",16.7332005306815
"5","B2","オオシラビソ","Ⅴ",51.0294032886923,"Ⅳ",44.7928565733421,"Ⅴ",41.9523539268061,"Ⅴ",39.5777715390849
"6","B2","オオバスノキ","Ⅲ",27.9284800875379,"Ⅳ",40.8900966005217,"Ⅳ",33.9882332579968,"Ⅳ",31.0741049750431
"7","B2","オガラバナ","Ⅲ",31.5974682530104,"Ⅲ",26.0307510456383,"Ⅲ",28.1992907712233,"Ⅲ",20.5523721258642
"8","B2","オノエヤナギ","Ⅰ",12.9614813968157,"Ⅱ",14.6969384566991,"Ⅰ",9.1214034007931,"Ⅰ",9.1214034007931
"9","B2","クマイチゴ","-",0,"Ⅰ",1.78885438199983,"-",0,"Ⅰ",0.894427190999916
"10","B2","クロウスゴ","Ⅲ",21.3541565040626,"Ⅱ",14.6969384566991,"Ⅲ",16.7332005306815,"Ⅲ",15.3362316101447
"11","B2","クロツリバナ","Ⅱ",13.7985506485283,"Ⅱ",16.3951212255354,"Ⅱ",16,"Ⅱ",14.0854534893272
"12","B2","コメツガ","-",0,"-",0,"-",0,"Ⅰ",1.26491106406735
"13","B2","タカネナナカマド","Ⅰ",1.78885438199983,"-",0,"-",0,"-",0
"14","B2","ダケカンバ","Ⅱ",24.592681838303,"Ⅱ",22.2890107452081,"Ⅱ",16.5408585025083,"Ⅱ",18.3303027798234
"15","B2","ナナカマド","Ⅲ",26.1074701953292,"Ⅲ",33.7638860322683,"Ⅲ",25.9229627936314,"Ⅳ",30.6985341669598
"16","B2","バッコヤナギ","Ⅰ",2.82842712474619,"Ⅰ",4.19523539268061,"Ⅰ",4.19523539268061,"Ⅰ",5.58569601750758
"17","B2","ハリブキ","Ⅱ",5.79655069847578,"Ⅱ",8.48528137423857,"Ⅱ",5.79655069847578,"Ⅱ",9.38083151964686
"18","B2","ヒメウスノキ","-",0,"Ⅱ",6.26099033699941,"Ⅱ",12.9614813968157,"Ⅱ",9.38083151964686
"19","B2","ベニバナイチゴ","Ⅰ",2.5298221281347,"Ⅰ",6.38748776906852,"Ⅰ",1.78885438199983,"Ⅰ",6
"20","B2","ミネカエデ","Ⅳ",40.9487484546231,"Ⅳ",48.3818147654674,"Ⅴ",44.7928565733421,"Ⅴ",39.5272058208014
"21","B2","ミヤマハンノキ","Ⅱ",18.3303027798234,"Ⅲ",22.1990990808186,"Ⅱ",15.3883072493371,"Ⅱ",9.46572765295939
"22","B2","ミヤマホツツジ","-",0,"-",0,"Ⅰ",0.894427190999916,"-",0
"23","B2","ムラサキヤシオツツジ","-",0,"Ⅰ",1.78885438199983,"Ⅰ",1.78885438199983,"Ⅰ",2.68328157299975
