sp,Meandk01,Frequencydk01,FreqCodedk01,DominatIndexdk01,Meandk01dk,Frequencydk01dk,FreqCodedk01dk,DominatIndexdk01dk,Meanc02,Frequencyc02,FreqCodec02,DominatIndexc02,Meanc02dk,Frequencyc02dk,FreqCodec02dk,DominatIndexc02dk,Meanc03,Frequencyc03,FreqCodec03,DominatIndexc03,Meanc03dk,Frequencyc03dk,FreqCodec03dk,DominatIndexc03dk,Meanc04,Frequencyc04,FreqCodec04,DominatIndexc04,Meanc04dk,Frequencyc04dk,FreqCodec04dk,DominatIndexc04dk,Meanc05,Frequencyc05,FreqCodec05,DominatIndexc05,Meanc05dk,Frequencyc05dk,FreqCodec05dk,DominatIndexc05dk
オオカメノキ,0.78,0.4230769230769231,Ⅲ,18.16590212458495,0.78,0.4230769230769231,Ⅲ,18.16590212458495,0.74,0.46153846153846156,Ⅲ,18.480759225163382,0.74,0.46153846153846156,Ⅲ,18.480759225163382,0.724,0.5384615384615384,Ⅲ,19.74452212250663,0.724,0.5384615384615384,Ⅲ,19.74452212250663,0.476,0.5769230769230769,Ⅲ,16.57152330401115,0.476,0.5769230769230769,Ⅲ,16.57152330401115,0.34,0.46153846153846156,Ⅲ,12.526894145121405,0.34,0.46153846153846156,Ⅲ,12.526894145121405
オオシラビソ,3.1,0.8461538461538461,Ⅴ,51.21598308220709,3.1,0.8461538461538461,Ⅴ,51.21598308220709,5.04,0.7692307692307693,Ⅳ,62.264942599532496,5.04,0.7692307692307693,Ⅳ,62.264942599532496,4.464,0.8846153846153846,Ⅴ,62.840457325858765,4.464,0.8846153846153846,Ⅴ,62.840457325858765,2.536,0.8846153846153846,Ⅴ,47.364381294223776,2.536,0.8846153846153846,Ⅴ,47.364381294223776,1.68,0.8076923076923077,Ⅴ,36.83643681089523,1.68,0.8076923076923077,Ⅴ,36.83643681089523
オオバスノキ,1.5,0.5384615384615384,Ⅲ,28.419928002940257,1.5,0.5384615384615384,Ⅲ,28.419928002940257,2.76,0.7692307692307693,Ⅳ,46.076858867298256,2.76,0.7692307692307693,Ⅳ,46.076858867298256,2.164,0.7692307692307693,Ⅳ,40.79969833975963,2.164,0.7692307692307693,Ⅳ,40.79969833975963,1.852,0.6923076923076923,Ⅳ,35.80717590307627,1.852,0.6923076923076923,Ⅳ,35.80717590307627,1.136,0.6923076923076923,Ⅳ,28.04392159562457,1.136,0.6923076923076923,Ⅳ,28.04392159562457
オガラバナ,1.92,0.5384615384615384,Ⅲ,32.15347809874001,1.92,0.5384615384615384,Ⅲ,32.15347809874001,3.54,0.46153846153846156,Ⅲ,40.4208628538055,3.54,0.46153846153846156,Ⅲ,40.4208628538055,2.14,0.5769230769230769,Ⅲ,35.13709414017307,2.14,0.5769230769230769,Ⅲ,35.13709414017307,1,0.5,Ⅲ,22.360679774997898,1,0.5,Ⅲ,22.360679774997898,0.8240000000000001,0.5769230769230769,Ⅲ,21.803316614327628,0.8240000000000001,0.5769230769230769,Ⅲ,21.803316614327628
ダケカンバ,1.68,0.38461538461538464,Ⅱ,25.4195563720897,1.68,0.38461538461538464,Ⅱ,25.4195563720897,3.3,0.38461538461538464,Ⅱ,35.62626515972126,3.3,0.38461538461538464,Ⅱ,35.62626515972126,0.8,0.38461538461538464,Ⅱ,17.541160386140582,0.8,0.38461538461538464,Ⅱ,17.541160386140582,0.948,0.4230769230769231,Ⅲ,20.02690497997439,0.948,0.4230769230769231,Ⅲ,20.02690497997439,0.18,0.4230769230769231,Ⅲ,8.726617108241093,0.18,0.4230769230769231,Ⅲ,8.726617108241093
ヒメウスノキ,0,0,-,0,0,0,-,0,0.14,0.3076923076923077,Ⅱ,6.563301233138936,0.14,0.3076923076923077,Ⅱ,6.563301233138936,0.428,0.4230769230769231,Ⅲ,13.45648256703523,0.428,0.4230769230769231,Ⅲ,13.45648256703523,0.14400000000000002,0.4230769230769231,Ⅲ,7.80532362705589,0.14400000000000002,0.4230769230769231,Ⅲ,7.80532362705589,0.28,0.6538461538461539,Ⅳ,13.530592118489238,0.28,0.6538461538461539,Ⅳ,13.530592118489238
ミネカエデ,2.62,0.6538461538461539,Ⅳ,41.38933344567079,2.62,0.6538461538461539,Ⅳ,41.38933344567079,6,0.7692307692307693,Ⅳ,67.93662204867576,6,0.7692307692307693,Ⅳ,67.93662204867576,3.36,0.8846153846153846,Ⅴ,54.5188746427115,3.36,0.8846153846153846,Ⅴ,54.5188746427115,2.376,0.8461538461538461,Ⅴ,44.83817055212599,2.376,0.8461538461538461,Ⅴ,44.83817055212599,1.616,1,Ⅴ,40.19950248448356,1.616,1,Ⅴ,40.19950248448356
ムラサキヤシオツツジ,0,0,-,0,0,0,-,0,0.04,0.11538461538461539,Ⅰ,2.1483446221182985,0.04,0.11538461538461539,Ⅰ,2.1483446221182985,0.024,0.11538461538461539,Ⅰ,1.6641005886756872,0.024,0.11538461538461539,Ⅰ,1.6641005886756872,0.036,0.15384615384615385,Ⅰ,2.3533936216582085,0.036,0.15384615384615385,Ⅰ,2.3533936216582085,0.044,0.11538461538461539,Ⅰ,2.253202848596432,0.044,0.11538461538461539,Ⅰ,2.253202848596432
イワカガミ,0.4,0.46153846153846156,Ⅲ,13.58732440973515,0.4,0.46153846153846156,Ⅲ,13.58732440973515,0.52,0.46153846153846156,Ⅲ,15.491933384829668,0.52,0.46153846153846156,Ⅲ,15.491933384829668,0.3,0.6538461538461539,Ⅳ,14.005493427717788,0.3,0.6538461538461539,Ⅳ,14.005493427717788,0.14,0.5769230769230769,Ⅲ,8.98717034272917,0.14,0.5769230769230769,Ⅲ,8.98717034272917,0.232,0.5384615384615384,Ⅲ,11.176899253508413,0.232,0.5384615384615384,Ⅲ,11.176899253508413
イワナシ,0.22,0.34615384615384615,Ⅱ,8.726617108241093,0.22,0.34615384615384615,Ⅱ,8.726617108241093,0.2,0.38461538461538464,Ⅱ,8.770580193070291,0.2,0.38461538461538464,Ⅱ,8.770580193070291,0.192,0.46153846153846156,Ⅲ,9.413574486632834,0.192,0.46153846153846156,Ⅲ,9.413574486632834,0.076,0.46153846153846156,Ⅲ,5.922577401513895,0.076,0.46153846153846156,Ⅲ,5.922577401513895,0.12000000000000001,0.5,Ⅲ,7.745966692414834,0.12000000000000001,0.5,Ⅲ,7.745966692414834
キソチドリ,0.04,0.11538461538461539,Ⅰ,2.1483446221182985,0.04,0.11538461538461539,Ⅰ,2.1483446221182985,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0
