"sp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","Mean","Frequency","FreqCode","DominatIndex"
"オオカメノキ",0.5,1,0,0.2,0.5,0,1,2,1,0.5,0,1,0,2.1,0.1,0,0,0.5,0,1,0.5,0,0,0,0,0.476,0.576923076923077,"Ⅲ",16.5715233040112
"オオシラビソ",1,5,3,1,2,5,3,0.5,2,0.2,2.1,1.5,0.7,2,1.1,0.5,1.3,6,0,3,2,0,0,0.5,20,2.536,0.884615384615385,"Ⅴ",47.3643812942238
"オオバスノキ",4,4,2,4,4,9,1.5,5,2,1,2,1,1.1,3.3,0.2,1.2,0,0,0,1,0,0,0,0,0,1.852,0.692307692307692,"Ⅳ",35.8071759030763
"オガラバナ",0.5,0,0,0,0.2,0,0,0,0,0,0.5,0.8,5,0,0,1,5,3,2,5,0,1,1,0,0,1,0.5,"Ⅲ",22.3606797749979
"ダケカンバ",0,0,0,0,0,0,0,0,0,2,0,1.6,3,0,0,0,1.1,0,0,2,5,1,3,1,4,0.948,0.423076923076923,"Ⅲ",20.0269049799744
"ヒメウスノキ",0.2,0,0,0.2,0.2,0.5,0,0.2,0,0,1.1,0,0.1,0,0.4,0,0,0.5,0,0.2,0,0,0,0,0,0.144,0.423076923076923,"Ⅲ",7.80532362705589
"ミネカエデ",10,1,3,0.5,5,4,2,1,1,4,0.5,0.3,0,1.1,6,1,0,5,6,3,1,0,1,0,3,2.376,0.846153846153846,"Ⅴ",44.838170552126
"ムラサキヤシオツツジ",0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.036,0.153846153846154,"Ⅰ",2.35339362165821
"イワカガミ",0.1,0.1,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.1,0.5,0,0,0,0.1,0,0,0.5,0,0.2,0,0,0,0,0,0.14,0.576923076923077,"Ⅲ",8.98717034272917
"イワナシ",0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0,0.4,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.076,0.461538461538462,"Ⅲ",5.92257740151389
"キソチドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ゴゼンタチバナ",1.5,0.2,0.5,0.5,0.2,0.5,0.5,1.5,0.5,0.5,1,0.1,0.7,0.1,0.4,0,0,1,0,0.5,0,0,0,0,0,0.408,0.692307692307692,"Ⅳ",16.8065921132613
"シノブカグマ",0.5,0.1,0,0,0.1,0.2,0.1,0,0,0,0,0.5,0,0,0.2,0,0.1,0.1,0,1.3,0,0,0,0.5,0,0.148,0.461538461538462,"Ⅲ",8.26484678065433
"ショウジョウバカマ",0.5,0.1,0.2,0.5,0.2,0.2,0.5,0.1,0.2,0.2,0.1,1,0.4,0.2,0.3,0,0.1,0.3,0,0,0,0,0,0,0,0.204,0.692307692307692,"Ⅳ",11.8840552519234
"タケシマラン",0,0,0,0,0,0,0,0.1,0,0.2,0.1,0.2,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.032,0.269230769230769,"Ⅱ",2.93519754282137
"チゴユリ",0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0.5,0.08,0.461538461538462,"Ⅲ",6.076436202502
"ツマトリソウ",0.1,0.1,0.1,0,0,0.1,0,0.1,0,0,0,0.2,0.2,0,0.1,0,0,0,0.1,0.2,0,0,0,0,0,0.052,0.423076923076923,"Ⅲ",4.69041575982343
"ツルリンドウ",0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.056,0.5,"Ⅲ",5.29150262212918
"ヒメタケシマラン",0.2,0.1,0.1,0.2,0.1,0.1,0.1,0,0.2,0,0,0,0.2,0.1,0.3,0.2,0.1,0.2,0.5,0,0,0,0,0.5,0.5,0.148,0.692307692307692,"Ⅳ",10.1223287074437
"マイヅルソウ",0.2,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.6,0.1,0.1,0.1,0.1,0,0,0,0.1,6,0.336,0.769230769230769,"Ⅳ",16.07673904937
"ミズバショウ",15,0,9,3,5,15,0.5,4,3,1,3,0,6,2,2,0.2,0,3,3,1,1,0,0,0.5,0,3.088,0.769230769230769,"Ⅳ",48.7379176348828
"ミツバオウレン",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.044,0.423076923076923,"Ⅲ",4.31455497304005
"ミヤマカンスゲ",7,3,9,14,30,10,4,20,20,25,5,8,9,7,11,10,15,15,10,4,0,3,20,10,70,13.56,0.961538461538462,"Ⅴ",114.186082945609
"ヤマソテツ",3,0.5,2,3,4,2,2,5,0,5,0.5,1,2.2,1.4,5,1,1,2,2,1,0,0,0.5,0.5,0,1.784,0.846153846153846,"Ⅴ",38.8527793283629
"チシマザサ",80,90,95,95,85,95,95,95,90,85,60,90,85,83,75,80,90,80,90,85,50,70,70,90,30,81.32,1,"Ⅴ",285.166617962201
"クロウスゴ",0,0.5,0.5,0.2,0,1,1,0.5,0.1,0,0.1,0.5,3,0,0.3,0,0,0.5,1,0.5,0,0,0,0,0,0.388,0.576923076923077,"Ⅲ",14.961489025032
"ナナカマド",0,0.5,1.5,1,0.5,4,3,1,0.1,0,0.1,1.8,0,5,0.5,0.1,0,3,0.5,0.5,5,2,0,0,7,1.484,0.769230769230769,"Ⅳ",33.7866610001412
"オオバショリマ",0,0,0,0.3,0,0,1,0,0.3,0.2,0.4,0.2,0.5,0.5,0.3,0,0,0.7,0,0.1,0,0,0,0.5,0,0.2,0.5,"Ⅲ",10
"コガネイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"サンカヨウ",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0.1,0,0.5,0,0,0,0.5,0,0,0.06,0.230769230769231,"Ⅱ",3.72104203767625
"ヒメノガリヤス",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0769230769230769,"Ⅰ",0.554700196225229
"ミヤマアキノキリンソウ",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.012,0.153846153846154,"Ⅰ",1.35873244097352
"ミヤマセンキュウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.004,0.0769230769230769,"Ⅰ",0.554700196225229
"ミヤマワラビ",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0.5,0.1,0.5,0.092,0.269230769230769,"Ⅱ",4.97686957526825
"ヤマドリゼンマイ",0,1,0.2,0,0.3,0,0,0,0,0,0.2,0.5,0,0,0,1,0,2,0.5,0.2,1,0,0,0,1,0.316,0.461538461538462,"Ⅲ",12.0766780964864
"コバイケイソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.008,0.115384615384615,"Ⅰ",0.960768922830523
"シラネワラビ",0,0,0,0,0,0.1,0,0,0.3,0.1,0.1,3,5,0.1,6.3,3,3,5.3,6,3,2,1,0,0,0,1.532,0.615384615384615,"Ⅳ",30.7045473956095
"ヒメゴヨウイチゴ",0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,2,0.1,0.2,0.6,0.3,0,2,0.3,2,3,1,3,0,0.596,0.576923076923077,"Ⅲ",18.5430891128246
"ヒロハユキザサ",0,0,0.5,0,0.2,0,0,0.5,0,0.3,0,0,0,0,0,0.3,0,1,0,0.2,0,0,0,0.5,0.5,0.16,0.384615384615385,"Ⅱ",7.84464540552736
"ヤマブキショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.5,0,0.1,0,0,0,0,0,0.088,0.153846153846154,"Ⅰ",3.6794648440312
"ユキザサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2,0,0.5,0.104,0.153846153846154,"Ⅰ",4
"ミヤマホツツジ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"エンレイソウ",0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0.7,0.6,0.1,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.216,0.5,"Ⅲ",10.3923048454133
"ツクバネソウ",0,0,0,0.1,0,0,0,0,0.1,0.1,0,0.2,0,0,0.1,0.2,0.1,0.2,0.1,0.2,0,0,0,0,0,0.056,0.423076923076923,"Ⅲ",4.86747446755581
