"sp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","Mean","Frequency","FreqCode","DominatIndex"
"オオカメノキ",0,2,0.5,0,2,0,0,3,3,0.5,0,0,3,3,0.5,0,0,0,0,0,0,0,2,0,0,0.78,0.423076923076923,"Ⅲ",18.1659021245849
"オオシラビソ",4,4,2,4,3,4,6,3,3,0,5,3,4,4,3,2,4,3,0,4,0.5,0,0,5,7,3.1,0.846153846153846,"Ⅴ",51.2159830822071
"オオバスノキ",4,3,3,3,3,3,0.5,3,3,3,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1.5,0.538461538461538,"Ⅲ",28.4199280029403
"オガラバナ",0,2,0,2,0,0,4,0,0,0,0,5,4,0,0,0,5,4,3,5,0,4,3,3,4,1.92,0.538461538461538,"Ⅲ",32.15347809874
"ダケカンバ",0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,4,4,4,5,5,8,1.68,0.384615384615385,"Ⅱ",25.4195563720897
"ヒメウスノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ミネカエデ",5,0,3,4,5,5,0,5,4,5,3,4,0,4,5,4,0,4,5,0,0.5,0,0,0,0,2.62,0.653846153846154,"Ⅳ",41.3893334456708
"ムラサキヤシオツツジ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イワカガミ",0.5,0.5,0.5,0.5,0,2,1,1,0.5,0.5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.461538461538462,"Ⅲ",13.5873244097351
"イワナシ",0.5,0,0.5,0,0,0.5,0,0.5,0,1,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.22,0.346153846153846,"Ⅱ",8.72661710824109
"キソチドリ",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"ゴゼンタチバナ",4,1,4,2,2,2,1,3,4,4,0,0,0,4,4,0,0,0.5,0,0.5,0,0,0,0,0.5,1.46,0.615384615384615,"Ⅳ",29.9743480072801
"シノブカグマ",0.5,0,0,0.5,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0.32,0.230769230769231,"Ⅱ",8.59337848847319
"ショウジョウバカマ",2,1,1,0.5,2,4,2,0,0.5,1,2,1,2,1,2,0,0,0.5,0,0,1,0,0,0,0,0.94,0.653846153846154,"Ⅳ",24.7914377278807
"タケシマラン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"チゴユリ",1,0.5,1,1,2,1,1,2,1,1,1,2,1,0.5,2,0.5,3,0.5,1,2,2,1,2,0.5,0.5,1.24,1,"Ⅴ",35.213633723318
"ツマトリソウ",0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.12,0.269230769230769,"Ⅱ",5.68398560058805
"ツルリンドウ",0.5,0.5,0.5,0.5,2,0,0,0.5,2,2,0.5,0,0.5,3,0.5,0.5,1,0,0,0,0,0,0,0,0,0.58,0.576923076923077,"Ⅲ",18.2924953086063
"ヒメタケシマラン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"マイヅルソウ",1,0.5,0.5,0,3,1,0.5,1,2,3,1,0.5,0,0,1,0.5,0,0,0,4,4,0,0,1,1,1.02,0.692307692307692,"Ⅳ",26.5735553916642
"ミズバショウ",5,0,1,4,1,6,0,4,4,0.5,2,0,4,2,3,4,0,1,3,0,0,0,0,0,0,1.78,0.615384615384615,"Ⅳ",33.0965952234458
"ミツバオウレン",0.5,0,0.5,0,0,1,0,0,0.5,0,2,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.22,0.307692307692308,"Ⅱ",8.22753351207442
"ミヤマカンスゲ",5,4,6,5,6,6,5,5,6,6,5,5,6,6,6,5,6,5,6,6,5,5,5,5,8,5.52,1,"Ⅴ",74.2967024840268
"ヤマソテツ",3,0,4,3,4,4,3,3,3,5,0,3,0,0,4,0,0,4,4,4,0,0,0,0,0,2.04,0.576923076923077,"Ⅲ",34.3063124938119
"チシマザサ",9,10,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,1,"Ⅴ",94.8683298050514
"クロウスゴ",0,0.5,0.5,1,0,2,0.5,1,1,0,1,0,3,1,1,1,0,1,1,4,0,0,0,0,0,0.78,0.615384615384615,"Ⅳ",21.9089023002066
"ナナカマド",0,0,3,0,0.5,0,2,0,0,0,0,5,0,4,0.5,0,6,1,0,3,6,4,0,0,0.5,1.42,0.5,"Ⅲ",26.6458251889485
"オオバショリマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"コガネイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"サンカヨウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0.1,0.230769230769231,"Ⅱ",4.80384461415261
"ヒメノガリヤス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.08,0.0769230769230769,"Ⅰ",2.48069469178417
"ミヤマアキノキリンソウ",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0.5,0.5,0,2,0,0.5,3,0.32,0.307692307692308,"Ⅱ",9.92277876713668
"ミヤマセンキュウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
