"sp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","Mean","Frequency","FreqCode","DominatIndex"
"オオカメノキ",1,0,0,0,2,0,0,4,1,0,0,0,3,2,0.5,0,0,1,0,3,0.5,0,0.5,0,0,0.74,0.461538461538462,"Ⅲ",18.4807592251634
"オオシラビソ",5,8,0.5,8,0,5,20,2,3,0,0,5,4,5,0,5,6,5,0.5,5,1,0,0,8,30,5.04,0.769230769230769,"Ⅳ",62.2649425995325
"オオバスノキ",6,2,3,3,3,6,1,6,3,2,3,3,2,10,6,1,2,3,0,4,0,0,0,0,0,2.76,0.769230769230769,"Ⅳ",46.0768588672983
"オガラバナ",0.5,2,0,2,0,0,4,0,0,0,0,20,8,0,0,0,25,8,4,12,0,3,0,0,0,3.54,0.461538461538462,"Ⅲ",40.4208628538055
"ダケカンバ",0,0,0,0,0,0,0,1,0,0,0,0.5,5,0,0,20,0,0,0,6,5,0,10,5,30,3.3,0.384615384615385,"Ⅱ",35.6262651597213
"ヒメウスノキ",0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.14,0.307692307692308,"Ⅱ",6.56330123313894
"ミネカエデ",10,0,3,6,20,5,4,20,5,18,0,5,0,6,10,8,5,4,8,3,2,0,0,0,8,6,0.769230769230769,"Ⅳ",67.9366220486758
"ムラサキヤシオツツジ",0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"イワカガミ",0.5,0,0,0,0.5,1,2,1,2,2,2,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.52,0.461538461538462,"Ⅲ",15.4919333848297
"イワナシ",0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0.384615384615385,"Ⅱ",8.77058019307029
"キソチドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ゴゼンタチバナ",1,0,4,2,3,2,1,3,3,5,4,0.5,2,0,2,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,1.4,0.730769230769231,"Ⅳ",31.9855736712181
"シノブカグマ",0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0.24,0.423076923076923,"Ⅲ",10.0766294731156
"ショウジョウバカマ",2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,0.5,0,0.5,0,0,0,0,0,0,0,0.92,0.692307692307692,"Ⅳ",25.2373349806012
"タケシマラン",0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.192307692307692,"Ⅰ",6.79366220486757
"チゴユリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ツマトリソウ",0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.230769230769231,"Ⅱ",4.80384461415261
"ツルリンドウ",1,1,2,0,2,0.5,0,0.5,1,2,0.5,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0.48,0.461538461538462,"Ⅲ",14.884168150705
"ヒメタケシマラン",0.5,0,1,2,0.5,1,1,0,0.5,0,0,0,0.5,1,2,0.5,2,0.5,0.5,0,2,0,0.5,1,1,0.72,0.730769230769231,"Ⅳ",22.9380436426877
"マイヅルソウ",0,0,0,0,3,0,0.5,0.5,2,3,1,0.5,0,0,1,0.5,0,0,0,3,0.5,0.5,0,0,0,0.64,0.5,"Ⅲ",17.8885438199983
"ミズバショウ",10,0,2,5,5,30,0.5,4,5,2,5,0,4,2,3,4,0,1,2,0,0,0,0,0,0,3.38,0.653846153846154,"Ⅳ",47.0106370941726
"ミツバオウレン",0.5,0,0,0.5,0,0.5,0,0,0.5,0,1,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.2,0.384615384615385,"Ⅱ",8.77058019307029
"ミヤマカンスゲ",8,8,25,18,18,20,0,18,15,25,10,8,15,30,18,15,20,12,20,18,15,15,10,12,60,17.32,0.961538461538462,"Ⅴ",129.049781688487
"ヤマソテツ",2,0.5,5,5,5,5,4,3,3,12,3,2,0,4,4,0.5,1,4,3,0,0,0,0,0,0,2.64,0.730769230769231,"Ⅳ",43.9230095648143
"チシマザサ",100,100,95,100,100,100,100,95,95,95,95,95,95,95,95,95,95,0,100,100,80,80,30,90,0,85,0.923076923076923,"Ⅴ",280.109868554356
"クロウスゴ",0,0,0,1,0,2,1,0,0,0,1,1,2,0,0.5,0,0,0.5,1,5,0,0,0,0,0,0.6,0.423076923076923,"Ⅲ",15.9325501363138
"ナナカマド",0,0,10,2,0.5,5,5,0.5,0,0,0,8,3,5,0.5,0,15,0,0,4,10,4,0,0,5,3.1,0.615384615384615,"Ⅳ",43.6771371279335
"オオバショリマ",0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0,0,2,0,0.5,0,1,0,0,5,0.44,0.346153846153846,"Ⅱ",12.3413002681116
"コガネイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"サンカヨウ",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0.14,0.307692307692308,"Ⅱ",6.56330123313894
"ヒメノガリヤス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.08,0.0769230769230769,"Ⅰ",2.48069469178417
"ミヤマアキノキリンソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,1,2,0,1,0,0.24,0.269230769230769,"Ⅱ",8.038369524685
"ミヤマセンキュウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ミヤマワラビ",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,1,0.5,0.5,1,1,0,1,0.26,0.384615384615385,"Ⅱ",10
"ヤマドリゼンマイ",0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0.12,0.192307692307692,"Ⅰ",4.80384461415261
"コバイケイソウ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.08,0.153846153846154,"Ⅰ",3.50823207722812
"シラネワラビ",0,0,0.5,0,1,0.5,0,0,0,0,0,1,6,0.5,3,2,3,8,4,3,1,0,0,0,0,1.34,0.538461538461538,"Ⅲ",26.8614679706538
"ヒメゴヨウイチゴ",0,0,0,0,0,0,0,0,0,0,0,0.5,5,1,0.5,0,10,6,3,10,2,0,8,5,0,2.04,0.461538461538462,"Ⅲ",30.6844987174055
"ヒロハユキザサ",0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,1,0.18,0.346153846153846,"Ⅱ",7.89352217376326
