"","form","sp","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","Mean","Frequency","FreqCode","DominatIndex"
"77","bl","オノエヤナギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0.28,0.153846153846154,"Ⅰ",6.56330123313894
"5","bl","ダケカンバ",0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,1,0,0.5,1,0.24,0.423076923076923,"Ⅲ",10.0766294731156
"85","bl","バッコヤナギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0.24,0.192307692307692,"Ⅰ",6.79366220486757
"78","bs","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"61","bs","ウラジロナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"79","bs","ウラジロヨウラク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"1","bs","オオカメノキ",0.5,1,0.5,1,1,0,1,1,0.5,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.34,0.461538461538462,"Ⅲ",12.5268941451214
"3","bs","オオバスノキ",2,4,2,3,1,2,0.5,3,0.5,0.5,3,0.5,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0,0,1,0.692307692307692,"Ⅳ",26.3117405792109
"4","bs","オガラバナ",0,1,0,1,0,0,0,0,0,0,3,2,0.5,0,0.5,1,0.5,1,0.5,3,0.5,0,3,0,0.5,0.72,0.576923076923077,"Ⅲ",20.3809866146027
"81","bs","クマイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"26","bs","クロウスゴ",0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,1,1,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0.32,0.576923076923077,"Ⅲ",13.5873244097351
"48","bs","クロツリバナ",0,0,0,0,0,0,0,0.5,0,0,4,1,2,0,0.5,2,0.5,0.5,1,2,0,0,0,3,0,0.68,0.461538461538462,"Ⅲ",17.7157035944428
"62","bs","タカネナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"84","bs","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"27","bs","ナナカマド",0,0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,1,0.5,0.5,0.5,2,1,1,0,4,0,0,0,4,0.76,0.653846153846154,"Ⅳ",22.2917715070624
"49","bs","ハリブキ",0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,3,0.5,0.5,0.5,0,0,0.5,0,0,0,0.28,0.384615384615385,"Ⅱ",10.3774904332554
"6","bs","ヒメウスノキ",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0,0.5,0,0.5,1,0,0.5,0,0,0,0,0,0.36,0.653846153846154,"Ⅳ",15.3422493587028
"65","bs","ベニバナイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,3,0,0,0.18,0.153846153846154,"Ⅰ",5.26234811584217
"7","bs","ミネカエデ",3,2,3,1,3,2,2,1,1,0.5,1,0.5,1,1,4,3,0.5,0.5,1,0.5,0.5,2,0.5,0.5,0.5,1.42,1,"Ⅴ",37.6828873628335
"47","bs","ミヤマハンノキ",0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0.5,2,2,0,0,2,0.36,0.269230769230769,"Ⅱ",9.8449518497084
"42","bs","ミヤマホツツジ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"8","bs","ムラサキヤシオツツジ",1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.115384615384615,"Ⅰ",2.63117405792109
"2","cl","オオシラビソ",0.5,1,1,0.5,1,4,0.5,1,0.5,0,1,2,0.5,3,0.5,0.5,3,4,0,1,1,0,0,0,4,1.22,0.807692307692308,"Ⅴ",31.3908364874945
"46","cl","コメツガ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"10","ds","イワナシ",0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.24,0.5,"Ⅲ",10.9544511501033
"29","ds","コガネイチゴ",0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.153846153846154,"Ⅰ",3.038218101251
"38","ds","ヒメゴヨウイチゴ",0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,1,0.5,0.5,0.5,0.5,1,2,3,1,1,2,0.6,0.576923076923077,"Ⅲ",18.6052101883813
"89","f","イヌガンソク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"63","f","イヌワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
