"","form","sp","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","Mean","Frequency","FreqCode","DominatIndex"
"1","bl","アオダモ",0,0.5,1,2,0.5,0.5,0.5,0.5,0,0,0.5,1,0.5,0,0.5,2,2,0.5,0,0.5,1,1,1,0.5,0.5,0.68,0.807692307692308,"Ⅴ",23.4356730057144
"2","bl","イタヤカエデ",0.5,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,1,0.24,0.461538461538462,"Ⅲ",10.5246962316843
"3","bl","ウリハダカエデ",0.5,4,2,1,4,0.5,3,3,2,2,0.5,0.5,3,3,4,1,1,4,3,0.5,0.5,1,1,2,1,1.92,1,"Ⅴ",43.8178046004133
"4","bl","ウワミズザクラ",0.5,0.5,0.5,1,2,0,0.5,1,0.5,2,0,0.5,0.5,1,1,1,1,0,1,1,0.5,0,2,3,3,0.96,0.846153846153846,"Ⅴ",28.501012127777
"55","bl","オオイタヤメイゲツ",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"7","bl","コシアブラ",3,0.5,4,1,0.5,1,1,3,0,1,1,2,4,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,2,0.5,0.5,1.24,0.961538461538462,"Ⅴ",34.5298087499438
"83","bl","タカノツメ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"13","bl","トチノキ",0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0,0.18,0.384615384615385,"Ⅱ",8.32050294337844
"38","bl","ハウチワカエデ",0,4,0,3,0.5,0,0.5,0,3,0,0.5,2,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.74,0.653846153846154,"Ⅳ",21.9965032186062
"86","bl","ハリギリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"17","bl","ブナ",0.5,0,0.5,3,3,0.5,0,0,3,1,1,1,4,4,5,1,1,0.5,4,3,0.5,0.5,1,2,2,1.68,0.884615384615385,"Ⅴ",38.5506659625206
"18","bl","ホオノキ",0.5,0,3,0,0,0,0,0,0,0.5,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0.26,0.230769230769231,"Ⅱ",7.74596669241483
"19","bl","ミズキ",0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0.5,0,0,0,0,1,0.5,0,0,0,1,0.2,0.307692307692308,"Ⅱ",7.84464540552736
"64","bl","ヤマモミジ",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,3,0,0.5,0,0,0.2,0.192307692307692,"Ⅰ",6.20173672946042
"67","bs","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"54","bs","エゾユズリハ",0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
