"","no","アイバソウ","マルバヤナギ","アライトツメクサ","イグサ","イタドリ","アイイタドリ","イヌガラシ","イヌコリヤナギ","イヌトウバナ","エゾノギシギシ","エゾノミツモトソウ","オオイタドリ","オオウシノケグサ","オオバコ","オオバヤナギ","オニウシノケグサ","オノエヤナギ","外来ミミナグサ","カノコソウ","カモガヤ","キオン","キバナカワラマツバ","クサイ","ヤマクルマバナ","ケキツネノボタン","コウライシバ","コガネスゲ","コシノネズミガヤ","コツブアメリカヤガミスゲ","コナスビ","ゴマナ","ササガヤ","シロツメクサ","スイバ","スカシタゴボウ","スギナ","ススキ","スズメノカタビラ","セイヨウウツボグサ.大.白花.","セイヨウウツボグサ.小.白花.","セイヨウウツボグサ.大.紫花.","セイヨウウツボグサ","セイヨウタンポポ","ゼニゴケ","タチオランダゲンゲ","タニウツギ","タニソバ","タヌキラン","ツメクサ","ツボスミレ","Juncus.compressus","ドロノキ","ナガハグサ","ニワゼキショウ","Poa.sp..ヌマイチゴツナギ.","ネジバナ","ノアザミ","ノコンギク","ノボロギク","ノミノフスマ","バッコヤナギ","バッコオノエヤナギ","ハルジオン","ハンゴンソウ","ヒメジョオン","ヒメムカシヨモギ","ヒョウタンゴケ","フキ","フランスギク","ホソイ","ホッスガヤ","ミスジナガハグサ","ミドリハコベ","ヤマアゼスゲ","ヤマホタルブクロ","ヨシ.","ヨモギ","雑種ヨモギ","Iris.ｓｐ.","ヌカボ","ミミナグサsp.","スイバ.タカネスイバ","エゾノタカネヤナギ","メノマンネングサ","ヨツバヒヨドリ","タチツボスミレ","ヒメヌカボ","セイヨウオダマキ","タガラシ","ヤマハギ","エゾコヌカグサ"
"弘法第一駐車場",1,0,0,0,0,1,2,0,0,1,0,0,1,1,2,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,2,2,1,0,0,2,3,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,2,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"弘法第二駐車場",2,0,0,0,0,1,1,1,1,1,0,0,3,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,1,2,0,0,2,3,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"追分駐車場（立土）",3,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"追分駐車場（松尾峠入口）",4,0,0,0,1,2,1,0,2,0,1,0,0,0,2,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,3,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"追分駐車場緑化帯",5,2,0,0,1,2,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,3,3,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原駐車場",6,0,0,1,2,1,1,0,0,0,1,2,1,0,2,0,1,1,2,1,0,0,1,2,0,0,0,1,0,2,0,2,0,2,0,0,2,1,3,1,3,2,5,1,0,2,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"六甲学院前（緑化復元地）",7,0,0,0,2,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,1,0,0,1,1,1,0,4,0,1,0,0,1,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原バス停",8,1,0,0,1,1,1,0,1,0,1,1,1,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原ホテル   駐車場",9,0,0,0,1,0,1,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,2,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原散策路入口",10,0,0,0,0,1,1,1,0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,3,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原ホテル裏",11,0,0,1,0,2,1,0,0,0,3,0,3,0,3,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,1,0,2,1,3,1,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原立山荘入口",12,0,0,0,2,1,0,0,0,0,2,0,0,0,4,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,3,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"弥陀ヶ原カルデラ展望台入口",13,0,0,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"美松駐車場",14,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"天狗の鼻第1駐車場",15,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"天狗の鼻第２駐車場",16,1,0,2,0,2,2,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"立山高原ホテル　　  　（浄化槽）",17,0,0,1,0,4,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"立山高原ホテル周辺",18,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"立山高原ホテル～　天狗平山荘",19,0,0,0,0,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"天狗平山荘周辺",20,0,0,0,0,1,0,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
