R2以降出現種,,,
種名,出現年,出現した調査区,備考
イヌトウバナ,"R4,R7",弘法第一駐車場、弘法第二駐車場,R7トウバナをイヌトウバナに訂正
カノコソウ,R7,弥陀ヶ原大駐車場,以前より散発的に出現していたが、R7に弥陀ヶ原大駐車場の道路際に大量の実生が確認されたため、外来種扱いとして除去
（キオン）,R7,みくりが池歩道、ミドリが池広場,
コウライシバ,R7,弘法第一駐車場,
（コシノネズミガヤ）,R7,弘法第二駐車場、追分駐車場（松尾峠入口）,
タヌキラン,"R4,R7",弥陀ヶ原駐車場、ガキの広場上部,R7外来種扱いへ
Juncus compressus,"R4,R7",弥陀ヶ原駐車場、六甲学院前,
オオバヤナギ,R7,六甲学院前,明らかに人工物脇にあるためこの地点のみ外来種扱い
ノアザミ,R6,追分駐車場他,前回在来種扱いとしたが、その後増加傾向にあるため、R6より再び外来種扱いとした。
ノミノフスマ,R4,弘法第一駐車場,
（ハンゴンソウ）,R4、R7,弥陀ヶ原駐車場、みくりが池遊歩道他,20年ほど前よりみくりが池遊歩道の池側斜面に出現し、近年他地点でも増加傾向で注視してきたが、東一の越にも記録があることが判明したため、R7より在来種扱いとした。
ミドリハコベ,R5,天狗平山荘周辺,天狗平山荘前の木道脇に1株生育。
Iris sp.,R3,室堂山荘遊歩道,室堂山荘前の道沿いに1株見られたが翌年より消失
