no,地点名,,種数,アイバソウ,マルバヤナギ,アライトツメクサ,イグサ,イタドリ,アイイタドリ,イヌガラシ,イヌコリヤナギ,イヌトウバナ,エゾノギシギシ,エゾノミツモトソウ,オオイタドリ,オオウシノケグサ,オオバコ,オオバヤナギ,オニウシノケグサ,オノエヤナギ,外来ミミナグサ,カノコソウ,カモガヤ,キオン,キバナカワラマツバ,クサイ,ヤマクルマバナ,ケキツネノボタン,コウライシバ,コガネスゲ,コシノネズミガヤ,コツブアメリカヤガミスゲ,コナスビ,ゴマナ,ササガヤ,シロツメクサ,スイバ,スカシタゴボウ,スギナ,ススキ,スズメノカタビラ,セイヨウウツボグサ（大・白花）,セイヨウウツボグサ（小・白花）,セイヨウウツボグサ（大・紫花）,セイヨウウツボグサ,セイヨウタンポポ,ゼニゴケ,タチオランダゲンゲ,タニウツギ,タニソバ,タヌキラン,ツメクサ,ツボスミレ,Juncus compressus,ドロノキ,ナガハグサ,ニワゼキショウ,Poa sp.（ヌマイチゴツナギ）,ネジバナ,ノアザミ,ノコンギク,ノボロギク,ノミノフスマ,バッコヤナギ,バッコオノエヤナギ,ハルジオン,ハンゴンソウ,ヒメジョオン,ヒメムカシヨモギ,ヒョウタンゴケ,フキ,フランスギク,ホソイ,ホッスガヤ,ミスジナガハグサ,ミドリハコベ,ヤマアゼスゲ,ヤマホタルブクロ,ヨシ？,ヨモギ,雑種ヨモギ,Iris ｓｐ.,ヌカボ,ミミナグサsp.,スイバ×タカネスイバ,エゾノタカネヤナギ,メノマンネングサ,ヨツバヒヨドリ,タチツボスミレ,ヒメヌカボ,セイヨウオダマキ,タガラシ,ヤマハギ,エゾコヌカグサ
1,弘法第一駐車場,H20,9,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,3,4,1,,,,0,,,,,,,,,,,,,,,,2,,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,
,,H22,12,,,,,,,,,,,,,,4,,2,2,,,,,,,,,,,,,1,,,,,,1,1,2,,,,0,,,,,,,,,,,,,,,,2,,,,,1,,2,,,1,,,,,,,,,3,,,,,,,,,,,,,,
,,H25,25,,,,1,3,,,,1,,,1,,2,,1,2,,,,,,,,,,,,,1,1,2,1,,,2,4,1,,,,0,1,,,1,,,,1,,,,,,,,1,,,1,,1,,1,,,1,,,1,,,,,,2,1,,,,,,,,,,,,,
,,H28,22,,,,,2,,,,1,,,3,,2,,1,1,,,,,,,,,,,,,,2,1,1,,,2,4,1,,,,0,,,,1,,,,1,,,,,,1,,2,,,1,,1,,1,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R1,26,,,,1,1,1,,,2,,,1,,2,,1,,1,,,,,,,,,,,,1,2,1,1,,,2,3,1,,,,0,,,,1,,,,2,,1,,,,1,,3,,,1,,,,1,,,1,,,1,,,,,,2,1,,,,,,,,,,,,,
,,R4,25,,,,,1,1,,,1,,,1,1,2,,,1,1,,,,,1,,,,,,,1,1,1,,,,2,2,3,,,,0,,,,1,,,,1,,1,,,,1,,1,,1,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,
,,R7,24,,,,,1,2,,,1,,,1,,1,,,1,,1,,,,1,,,1,,,,1,2,2,1,,,1,4,1,,,,0,,,,2,,,,1,,1,,,,2,,2,,,1,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
2,弘法第二駐車場,H20,9,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,2,4,1,,,,0,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H22,14,,,,,1,,,,,,,,,2,,1,1,,,,,,1,,,,,,,1,,1,1,,,,,2,,,,0,,,,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,
,,H25,20,,,,,3,,,,,,,4,,2,,1,1,1,,,,,1,,,,,,,1,1,1,1,,,1,2,2,,,,0,,,,1,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,,3,,,,,,,,1,,,,,,
,,H28,24,,,,,1,,,,,,,4,,3,,1,1,1,,,,,1,,,,,,,1,3,1,1,,,1,2,2,,,,0,,,,1,,,,,,1,,,,1,,1,,,1,,1,,1,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R1,24,,,,,1,,,1,,,,4,,3,,,1,1,,,,,2,,,,,,,1,1,1,2,,,2,2,1,,,,0,,,,1,,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,,,,,,,1,2,,1,,,,,,,,,,,
,,R4,23,,,,,1,,1,1,,,,2,,4,,,,1,,,,,2,,,,,,,1,1,1,2,,,2,2,2,,,,0,,,,2,,,,1,,1,,,,1,,1,,,,,,,1,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R7,22,,,,,1,1,,,1,,,3,,4,,,,,,,,,2,,,,,1,,1,1,1,1,,,1,3,1,,,,0,,,,1,,,,1,,1,,,,1,,1,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,
3,追分駐車場（立土）,H20,8,,,,,3,,,,,,,,,5,,,3,,,,,,2,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H22,10,,,,,1,,,1,,,,,,4,,,1,,,,,,3,,,,,,,,,,,,,,,1,,,,0,,,,1,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H25,15,,,,,2,,,1,,,,,,3,,,1,,,,,,1,,,,,,,,1,,1,,,,1,1,,,,0,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
,,H28,19,,,,,2,,,1,,,,,,4,,,1,,,,,,2,,,,,,,,2,,1,,,,1,3,,,,0,,,,1,,,,,,1,,,,1,1,,,,,,,,1,,,1,,,1,1,,,,,1,1,,,,,,,,,,,,,
,,R1,19,,,,,2,,,1,,,,,,4,,,1,,,,,,2,,,,,,,,2,,1,,,,1,2,,,,0,,,,1,,,,,,1,,,,1,,1,,,,,,,1,,,1,,,1,1,,,,,2,1,,,,,,,,,,,,,
,,R4,15,,,,,1,,,1,,,,,,4,,,1,,,,,,2,,,,,,,,2,,1,,,,1,2,,,,0,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,1,2,,,,,,,,,,,,,
,,R7,18,,,,,1,,,1,,,,,,4,,,1,,,,,,3,,,,,,,,2,,1,,,,3,1,,,1,1,,,,1,,,,,,1,,,,,1,1,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
4,追分駐車場（松尾峠入口）,H20,12,,,,,2,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,1,,,2,,1,,,,0,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,
,,H22,15,,,,,1,,,2,,1,,,,3,,1,1,1,,,,,1,,,,,,,,,,1,,,1,,1,,,,0,,,,,,,,,,,,,,,3,2,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H25,17,,,,1,1,,,2,,1,,1,,2,,1,1,1,,,,,,,,,,,,,2,,1,,,1,1,1,,,,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,
,,H28,21,,,,,1,1,,3,,1,,2,,3,,1,2,1,,,,,,,,,,,,,2,,1,,,2,1,2,,,,0,1,,,,,,,,,1,,,,1,2,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R1,21,,,,,1,1,,2,,1,,1,1,3,,,1,1,,,,,1,,,,,,,1,2,,1,,,1,1,2,,,,0,1,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
,,R4,18,,,,,2,1,,1,,1,,,,2,,,,,,,,,1,,,,,,,1,3,,1,,,1,,2,,,,0,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R7,25,,,,1,1,1,,2,,1,,,,2,,1,1,1,,,,,2,,,,,1,,1,2,,1,,,1,1,2,,,,0,,,,,,,,1,,,,,,,1,2,,,,,,,2,,,1,1,,,,,,,,2,2,,,,,,,,,,,,,
5,追分駐車場緑化帯,H20,9,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,1,,,,,,,2,,,,,,,,,,,,,1,
,,H22,13,,,,,2,,,1,,,,,,2,,2,1,,,,,,,,,,,,,,,1,1,,,2,1,,,,,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,
,,H25,17,1,,,,2,,,1,,,,1,,1,,1,2,,,,,,1,,,,,,,,1,,,,,2,1,,,,,0,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,
,,H28,17,1,,,1,1,,,1,,,,,,1,,1,1,,,,,1,1,,,,,,,,1,,,,,4,1,,,,,0,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R1,21,1,1,,1,1,1,,1,,1,,1,,1,,,1,,,,,1,1,,,,,,,,1,,1,,,3,2,,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,
,,R4,19,1,,,,1,1,,1,,1,,,,1,,1,1,,,,,,1,,,,,,,,2,,1,,,2,2,,,2,,2,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,
,,R7,21,2,,,1,2,1,,1,,1,,,,1,,1,1,,,,,1,1,,,,,,,,2,,1,,,3,3,,,2,,2,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,
6,弥陀ヶ原駐車場,H20,13,,,,,,,,,,2,1,,,3,,,,1,,,,,,,,,,,,,,,3,,,3,,2,,,,0,2,,1,1,,,,,,,,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,1,,,,,,,,
,,H22,23,,,,,2,,,,,1,1,,,1,,2,3,1,,,,,1,,,,,,1,,,,3,,,2,1,2,,2,2,4,,,1,1,1,,,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,
,,H25,17,,,,,1,,,,,1,1,1,,1,,,3,,,,,,,,,,,,1,,3,,3,,,3,,1,,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,
,,H28,26,,,,,1,,,,,1,1,1,,2,,,1,1,,,,,1,,,,,,1,,3,,3,,,2,1,2,,2,2,4,1,,,,2,,,2,,1,,,1,,1,,,,,,,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,,,
,,R1,28,1,,,2,2,1,,,,1,2,1,1,2,,,1,1,,,,,1,,,,1,,2,,3,,3,,,3,1,2,,3,2,5,,,1,,1,,,2,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R4,32,,,1,1,1,1,,,,2,2,1,,1,,1,1,2,,,,,1,,,,1,,2,,2,,2,,,2,1,2,1,3,2,6,1,,2,,1,1,,1,1,1,,2,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R7,27,,,1,2,1,,,,,,1,1,,2,,,1,1,1,,,1,2,,,,,,2,,2,,2,,,1,1,3,,2,1,3,,,1,,1,1,,1,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
7,六甲学院前（緑化復元地）,H20,6,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H22,11,,,,,1,,,,,1,,,,,,,4,1,,,,,,,,,,,1,,,,4,,,,,,,,,0,,,5,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H25,13,,,,,1,1,,,,,,1,,,,,4,,,,,1,,,,,,,1,,1,,4,,,,,1,,,,0,,,5,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H28,15,,,,,1,1,,,,,,1,,,,,2,2,,,,,,,,,,,1,,2,,4,,,,,,,,,0,,,4,,1,,,,,,,,3,,1,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,
,,R1,18,,,,1,,1,,,,1,,1,2,,,,1,1,,,,1,,,,,,,2,,3,,3,,,,,,,,1,1,,,4,,1,,,,,,,,3,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
