"","c01","c02","c03","c04"
"アオダモ",0.5,23.5,25,25
"アカミノルイヨウショウマ",1,0,0,0
"アクシバ",0,0,2,2
"イタヤカエデ",3,6.5,4.8,4.8
"イボタノキ",0,0,0.3,0.3
"ウド",0,0.5,0,0
"ウメガサソウ",0,0.5,0,0
"ウリハダカエデ",5.5,100,73.4,73.4
"ウワミズザクラ",69,50.5,60.9,60.9
"エゾユズリハ",0.5,0.5,2,2
"エンレイソウ",0,1.5,1.9,1.9
"オオイタヤメイゲツ",0,0,0,0
"オオカメノキ",131,346,594,594
"オオバクロモジ",100,162,238,238
"オオバユキザサ",0,2.5,0.5,0.5
"オシダ",1,6,3.7,3.7
"カメバヒキオコシ",3.5,2.5,5.7,5.7
"ギンリョウソウ",0,0.5,0.5,0.5
"クサアジサイ",1.5,14,0,0
"クルマバソウ",0,0.5,0,0
"クルマバハグマ",0,0,0.5,0.5
"クロウスゴ",0,0,0.5,0.5
"コイワカガミ",8,0,0,0
"コカンスゲ",103,0,0,0
"コシアブラ",3.5,11,55.9,55.9
"コマユミ",38,2.5,5.2,5.2
"サカゲイノデ",0,1,0.5,0.5
"サラシナショウマ",0,0.5,0,0
"サワダツ",0,0,0.5,0.5
"サワフタギ",23,49.5,40,40
"サンカヨウ",0,0.5,0.5,0.5
"シノブカグマ",0,1.5,1.5,1.5
"ジュウモンジシダ",0,0.5,0,0
"シラネアオイ",0,18,0.1,0.1
"シラネワラビ",134,413,561,561
"スノキ",0,1,0,0
"スミレサイシン",0,0,0.1,0.1
"タカノツメ",0,0,0,0
"タケシマラン",0,4.5,2.6,2.6
"タチシオデ",2,4,2.2,2.2
"タニウツギ",0,2,0.5,0.5
"タニギキョウ",3.5,4,1.8,1.8
"タムシバ",0,0.5,4.7,4.7
"チゴユリ",15.5,21,12,12
"チシマザサ",199,1130.5,426,426
"ツクバネソウ",2,2,0.8,0.8
"ツノハシバミ",7.5,3,6.5,6.5
"ツリバナ",0,3,5.6,5.6
"ツルアリドオシ",19.5,43,11.4,11.4
"ツルリンドウ",0,3,1.3,1.3
"テンニンソウ",0,0,10.8,10.8
"トチノキ",0.5,5.5,5.9,5.9
"トチバニンジン",0,1.5,0.7,0.7
"ナナカマド",0.5,6.5,11.9,11.9
"ナライシダ",0,20.5,2.5,2.5
"ノリウツギ",5,8,12,12
"ハイイヌガヤ",15,51.5,25.8,25.8
"ハイイヌツゲ",16.5,11,6.3,6.3
"ハウチワカエデ",0,0,2.1,2.1
"ハリギリ",0,6,0,0
"ヒメアオキ",36,57.5,50.4,50.4
"ヒメカンアオイ",8,7,6.5,6.5
"ヒメモチ",8.5,17.5,31.4,31.4
"ヒロバスゲ",0,0,0,0
"ヒロハユキザサ",0,0,1,1
"ブナ",77,226.5,146,146
"ホウチャクソウ",4,0,0.5,0.5
"ホオノキ",1.5,11,14,14
"マイヅルソウ",0,2,0,0
"マユミ",43.5,0,0.6,0.6
"ミズキ",66.5,2,8.08,8.08
"ミヤマイタチシダ",0,0,1,1
"ミヤマイボタ",0,0.5,0.2,0.2
"ミヤマウズラ",0,3.5,0.8,0.8
"ミヤマカンスゲ",0,257,215.5,215.5
"ミヤマシキミ",0,5,0,0
"メイゲツカエデ",0.5,47.5,28.7,28.7
"ヤマアジサイ",0,0.5,0.2,0.2
"ヤマイヌワラビ",0,7,6.1,6.1
"ヤマウルシ",5.5,40,43.5,43.5
"ヤマソテツ",69.5,86.5,135,135
"ヤマドリゼンマイ",0.5,0.5,2.8,2.8
"ヤマモミジ",0,11.5,10.4,10.4
"ユキザサ",50,58,13.7,13.7
