"","c01","c02","c03","c04"
"アイイタドリ",0,0,0.1,0.1
"アカショウマ",0,0,6,6
"アキカラマツ",1,6,1,1
"アクシバ",0,0,0,0
"イ",0,0,0.1,0.1
"イタドリ",12,5,23,23
"イヌガンソク",0,0,0,0
"イヌワラビ",0,5,1.6,1.6
"イワカガミ",0,0,0,0
"イワナシ",5.5,5,1.9,1.9
"ウラジロタデ",0,0,0,0
"ウラジロナナカマド",0,2,3,3
"ウラジロヨウラク",0,0,0,0
"エンレイソウ",4.5,10,5.48,5.48
"オオイタドリ",20,85,93,93
"オオカメノキ",19.5,18.5,11.9,11.9
"オオシラビソ",77.5,126,63.4,63.4
"オオバコ",0,0,0,0
"オオバショリマ",0,11,5,5
"オオバスノキ",37.5,69,46.3,46.3
"オオバタケシマラン",1.5,1,1.6,1.6
"オオハナウド",0,0,1,1
"オオバノヨツバムグラ",2.5,6.5,0.8,0.8
"オオバユキザサ",0,0.5,0.5,0.5
"オガラバナ",48,88.5,25,25
"オシダ",0.5,0,1,1
"オニシモツケ",0,15,6,6
"オノエヤナギ",21,39.5,20,20
"カニコウモリ",0.5,1.5,0.8,0.8
"キオン",0.5,0,0,0
"キソチドリ",1,0,0,0
"キヌガサソウ",2.5,3,1.2,1.2
"クマイチゴ",0,1,0.5,0.5
"クロウスゴ",19,14.5,9.2,9.2
"クロツリバナ",17,25,16.7,16.7
"クロトウヒレン",0,0,1,1
"コイワカガミ",10,13,3.5,3.5
"コウゾリナ",4.5,0.5,0,0
"コガネギク",0,6,0,0
"コゴメグサ",0.5,0,0,0
"ゴゼンタチバナ",36.5,35,10.2,10.2
"コバイケイソウ",0.5,2,0.2,0.2
"ゴマナ",1,24.5,21.6,21.6
"コミヤマカタバミ",22.5,46.5,34,34
"コメススキ",0,0,0.2,0.2
"コメツガ",0,0,1,1
"サカゲイノデ",0,0,2.6,2.6
"サンカヨウ",2.5,3.5,1.5,1.5
"シノブカグマ",8,6,3.7,3.7
"シモツケソウ",3.5,2,0,0
"ショウジョウバカマ",23.5,23,5.1,5.1
"シラネセンキュウ",0,0,0.2,0.2
"シラネニンジン",0,0,1.6,1.6
"シラネワラビ",27.5,33.5,38.3,38.3
"スギナ",0,0,0.2,0.2
"セイヨウタンポポ",2,0,0,0
"タカネナナカマド",2,0,0,0
"ダケカンバ",42,82.5,23.7,23.7
"タケシマラン",0,6,0.8,0.8
"タテヤマアザミ",15,55.5,11.5,11.5
"タテヤマオウギ",8,0,0,0
"タニギキョウ",0.5,2,1,1
"チゴユリ",31,0,2,2
"チシマザサ",225,2125,2033,2033
"ツクバネソウ",5.5,5,1.4,1.4
"ツマトリソウ",3,2.5,1.3,1.3
"ツルリンドウ",14.5,12,1.4,1.4
"テガタチドリ",0,0,0.1,0.1
"ナナカマド",35.5,77.5,37.1,37.1
"ノコンギク",16,0,0,0
"ハクモウイノデ",2.5,0,0,0
"バッコヤナギ",2.5,10.5,11.5,11.5
"ハリブキ",3.5,5,3.6,3.6
"ヒゲノガリヤス",5,5,1,1
"ヒメウスノキ",0,3.5,3.6,3.6
"ヒメゴヨウイチゴ",39.5,51,14.9,14.9
"ヒメタケシマラン",0,18,3.7,3.7
"ヒメノガリヤス",2,2,0.1,0.1
"ヒメワラビ",0,0,0,0
"ヒロハユキザサ",0,4.5,4,4
"フキ",15.5,35.5,30,30
"ベニバナイチゴ",4,13.5,11.5,11.5
"ホソバトウゲシバ",0,0.5,0,0
"マイヅルソウ",25.5,16,8.4,8.4
"マルバダケブキ",0,0,1.5,1.5
"ミズバショウ",44.5,84.5,77.2,77.2
"ミツバオウレン",5.5,5,1.1,1.1
"ミネカエデ",65.5,150,59.4,59.4
"ミヤマアキノキリンソウ",8,0,0.3,0.3
"ミヤマイタチシダ",0,0,1.6,1.6
"ミヤマカタバミ",0,0,0.5,0.5
"ミヤマカンスゲ",138,433,339,339
"ミヤマシシウド",3,9,30.5,30.5
"ミヤマシシガシラ",0,0,0.1,0.1
"ミヤマセンキュウ",0,0,0.1,0.1
"ミヤマハンノキ",30,45,8,8
"ミヤマベニシダ",0,0,0.9,0.9
"ミヤマホツツジ",0,0,0,0
"ミヤマメシダ",0,9.5,8,8
"ミヤマワラビ",4,6.5,2.3,2.3
"ムラサキヤシオツツジ",0,1,0.9,0.9
"メシダ",6,0,0,0
"モミジカラマツ",5,10,10.95,10.95
"ヤグルマソウ",0,3,3,3
"ヤマイヌワラビ",0,0,0.5,0.5
"ヤマソテツ",51,66,44.6,44.6
"ヤマドリゼンマイ",6,3,7.9,7.9
"ヤマハハコ",1,1,0.5,0.5
"ヤマブキショウマ",2,7.5,2.2,2.2
"ユキザサ",4.5,0,2.6,2.6
"ヨツバヒヨドリ",3.5,2.5,0,0
"ヨモギ",20,24,14,14
