サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,X,no,II_
1,B2,アオダモ,0,1,1,1,NA,1,1
1,B2,イタヤカエデ,0.5,0.5,1,0.3,NA,6,0.5
1,B2,ウリハダカエデ,0,12,3,0.5,NA,7,5
1,B2,ウワミズザクラ,4,5,5,0.8,NA,8,4
1,B2,オオカメノキ,5,10,5,14,NA,9,5
1,B2,オオバクロモジ,5,18,15,10,NA,10,6
1,B2,コシアブラ,0,1,1,4,NA,11,1
1,B2,コマユミ,2,0,0,0.1,NA,12,0
1,B2,サワフタギ,2,4,3,2,NA,13,2
1,B2,ツノハシバミ,1,0,1,0.5,NA,14,0
1,B2,トチノキ,0,0.5,0,0.5,NA,15,0.5
1,B2,ノリウツギ,0,1,2,0.5,NA,16,1
1,B2,ハイイヌガヤ,0,3,1,3.5,NA,17,2
1,B2,ヒメアオキ,4,8,5,2,NA,18,5
1,B2,ヒメモチ,1,0.5,0.5,1,NA,19,0.5
1,B2,ブナ,0,0.5,0.5,2,NA,20,0.5
1,B2,ホオノキ,0,1,1,1.5,NA,21,1
1,B2,ミズキ,4,0,0,,NA,22,0
1,B2,ヤマウルシ,0.5,2,5,1,NA,23,2
1,B2,ツリバナ,NA,NA,3,0.5,NA,24,NA
1,B2,タムシバ,NA,NA,2,3,NA,25,NA
1,C,オオバユキザサ,0,0.5,0,0.5,NA,26,0.5
1,C,シノブカグマ,0,0.5,0,,NA,27,0.5
1,C,シラネワラビ,5,20,30,25,NA,28,6
1,C,チゴユリ,0.5,0.5,0.5,,NA,29,0.5
1,C,ツルアリドオシ,0,8,0.5,0.5,NA,30,4
1,C,ヒメカンアオイ,0.5,0.5,0,0.5,NA,31,0.5
1,C,ミヤマカンスゲ,0,6,15,15,NA,32,4
1,C,ヤマソテツ,5,8,5,3,NA,33,4
1,C,ユキザサ,0.5,0,1,0.5,NA,34,0
1,C,コカンスゲ,4,0,0,,NA,35,0
1,C,ヒメモチ,NA,NA,0.5,,NA,36,NA
1,C,ミヤマウズラ,NA,NA,0.5,,NA,37,NA
1,C,ツルリンドウ,NA,NA,0.5,,NA,38,NA
1,S,チシマザサ,6,20,20,15,NA,39,6
2,B2,ウリハダカエデ,0.5,0,3,13,NA,43,0
2,B2,ウワミズザクラ,4,0,3,3,NA,64,0
2,B2,オオカメノキ,7,0,20,37,NA,65,0
2,B2,オオバクロモジ,5,0,30,25,NA,66,0
2,B2,コマユミ,3,0,0.5,0.5,NA,67,0
2,B2,ツノハシバミ,2,0,1,,NA,68,0
2,B2,ハイイヌガヤ,0.5,0,1,2.5,NA,69,0
2,B2,ハイイヌツゲ,0.5,0,0,,NA,70,0
2,B2,ヒメアオキ,3,0,2,6.5,NA,71,0
2,B2,ヒメモチ,1,0,0.5,0.5,NA,72,0
2,B2,ブナ,6,0,2,2,NA,73,0
2,B2,ミズキ,4,0,0,,NA,74,0
2,B2,マユミ,2,0,0,0.5,NA,75,0
2,B2,アオダモ,NA,NA,2,3.5,NA,76,NA
2,B2,ノリウツギ,NA,NA,2,2,NA,77,NA
2,B2,ヤマウルシ,NA,NA,2,0,NA,78,NA
2,B2,サワダツ,NA,NA,0.5,0.5,NA,79,NA
2,B2,ナナカマド,NA,NA,2,3,NA,80,NA
2,B2,メイゲツカエデ,NA,NA,5,0.5,NA,81,NA
2,B2,トチノキ,NA,NA,0.5,0.5,NA,82,NA
2,B2,クロウスゴ,NA,NA,0.5,0.5,NA,83,NA
2,C,ウメガサソウ,0,0.5,0,,NA,84,0.5
2,C,オオバユキザサ,0,2,0.5,,NA,85,2
2,C,オシダ,0.5,0.5,0,0.5,NA,86,0.5
2,C,シラネワラビ,5,20,30,30,NA,87,6
2,C,タケシマラン,0,0.5,0.5,0.5,NA,88,0.5
2,C,タチシオデ,0,0.5,0,,NA,89,0.5
2,C,タニギキョウ,0,0.5,0,,NA,90,0.5
2,C,チゴユリ,4,8,0.5,1,NA,91,4
2,C,ツルアリドオシ,3,4,0.5,0.5,NA,92,3
2,C,ヒメカンアオイ,0,0.5,0.5,0.5,NA,93,0.5
2,C,ミヤマカンスゲ,0,5,5,10,NA,94,4
2,C,ヤマソテツ,4,1,1,1,NA,95,1
2,C,ユキザサ,1,0,0.5,0.5,NA,96,0
2,C,コイワカガミ,2,0,0.5,,NA,97,0
2,C,コカンスゲ,3,0,0,,NA,98,0
2,C,ホウチャクソウ,0.5,0,0,,NA,99,0
2,C,シノブカグマ,NA,NA,0.5,,NA,100,NA
2,S,チシマザサ,7,30,10,20,NA,101,6
2,,エンレイソウ,NA,NA,,0.5,NA,NA,NA
2,,ツリバナ,NA,NA,,0.5,NA,NA,NA
3,B2,アオダモ,0,0.5,1,0.5,NA,105,0.5
3,B2,ウリハダカエデ,0.5,5,1,1.5,NA,116,4
3,B2,ウワミズザクラ,4,1,1,3,NA,117,1
3,B2,オオカメノキ,6,25,25,30,NA,118,6
3,B2,オオバクロモジ,5,15,1,20,NA,119,5
3,B2,コシアブラ,0,1,4,5.5,NA,120,1
3,B2,ツノハシバミ,1,0,0,,NA,121,0
3,B2,ナナカマド,0,0.5,1,,NA,122,0.5
3,B2,ハイイヌガヤ,0.5,0,0,,NA,123,0
3,B2,ハイイヌツゲ,0.5,0,0,,NA,124,0
3,B2,ヒメアオキ,0,5,1,1,NA,125,4
3,B2,ブナ,5,8,5,1,NA,126,4
3,B2,ホオノキ,0,5,5,3,NA,127,4
3,B2,ミズキ,3,0,0,,NA,128,0
3,B2,ミヤマシキミ,0,0.5,0,,NA,129,0.5
3,B2,ヤマウルシ,3,2,1,0.5,NA,130,2
3,B2,イタヤカエデ,NA,NA,1,,NA,131,NA
3,B2,ヒメモチ,NA,NA,1,0.5,NA,132,NA
3,B2,ノリウツギ,NA,NA,0.5,,NA,133,NA
3,C,シラネワラビ,5,10,20,35,NA,134,5
3,C,チゴユリ,3,3,1,1,NA,135,3
3,C,ツクバネソウ,0.5,0,0,,NA,136,0
3,C,ツルアリドオシ,3,8,1,0.8,NA,137,4
3,C,ツルリンドウ,0,0.5,0.5,0,NA,138,0.5
3,C,ナライシダ,0,4,0.5,,NA,139,3
3,C,ヒメカンアオイ,0.5,1,3,2,NA,140,1
3,C,マイヅルソウ,0,0.5,0.5,,NA,141,0.5
3,C,ミヤマカンスゲ,0,6,8,8,NA,142,4
3,C,ヤマソテツ,4,3,1,1,NA,143,3
3,C,ユキザサ,1,2,0.5,0.5,NA,144,2
3,C,コイワカガミ,4,0,0,,NA,145,0
3,C,コカンスゲ,4,0,0,,NA,146,0
3,S,チシマザサ,8,50,35,30,NA,147,8
NA,,ハウチワカエデ,NA,NA,,2,NA,NA,NA
4,B2,アオダモ,0,0.5,1,3,NA,151,0.5
4,B2,ウリハダカエデ,0,4,4,2,NA,159,3
4,B2,ウワミズザクラ,3,4,1,3,NA,160,3
4,B2,エゾユズリハ,0,0.5,1,,NA,161,0.5
4,B2,オオカメノキ,6,20,15,20,NA,162,6
4,B2,オオバクロモジ,5,6,1,4,NA,163,4
4,B2,コシアブラ,0.5,0,2,1.5,NA,164,0
4,B2,コマユミ,0.5,0,0.5,0.5,NA,165,0
4,B2,ナナカマド,0,0.5,1,1,NA,166,0.5
4,B2,ハイイヌツゲ,0.5,0,0,,NA,167,0
4,B2,ヒメアオキ,3,1,1,0.5,NA,168,1
4,B2,ブナ,5,12,3,6,NA,169,5
4,B2,ミズキ,3,0,0,,NA,170,0
4,B2,メイゲツカエデ,0,15,7,6.5,NA,171,5
4,B2,ヤマウルシ,0,5,1,0.5,NA,172,4
4,B2,マユミ,5,0,0,,NA,173,0
4,B2,トチノキ,NA,NA,0.5,,NA,174,NA
