"","階層","種名","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1","B2","アオダモ",1,0,0.5,0.5,0,0.5,2,1,0,0.5,1,0.5,2,0,0,3,4,0,0.5,0,0.5,5,0.5,0,0.5
"2","B2","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","B2","イタヤカエデ",0.5,0,0,0,0,0,0.5,0,0,0,1,0.5,1,0,0,0.5,0,1,0,0,0.5,0.5,0.5,0,0
"4","B2","ウリハダカエデ",12,0,5,4,8,5,4,6,5,5,2,3,5,8,1,4,4,3,5,4,0.5,3,0.5,3,0
"5","B2","ウワミズザクラ",5,0,1,4,2,0.5,0,0,2,6,0,0,0,0,6,0,2,4,3,1,4,0,2,5,3
"6","B2","エゾユズリハ",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","B2","オオイタヤメイゲツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","B2","オオカメノキ",10,0,25,20,15,12,15,30,12,15,18,8,10,5,5,18,10,15,10,10,35,25,10,8,5
"9","B2","オオバクロモジ",18,0,15,6,5,10,10,5,2,2,6,6,10,6,4,5,6,15,5,2,5,6,3,5,5
"10","B2","クサアジサイ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,8,0,0,0,0
"11","B2","クロウスゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","B2","コシアブラ",1,0,1,0,0.5,0,1,1,0.5,0,0.5,0.5,1,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,2
"13","B2","コマユミ",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5
"14","B2","サワフタギ",4,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,10,15,0,0,6,6,5
"15","B2","スノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16","B2","タカノツメ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","B2","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"18","B2","タムシバ",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","B2","ツノハシバミ",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0,0,0.5
"20","B2","ツリバナ",0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1
"21","B2","トチノキ",0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,1,0,0
"22","B2","ナナカマド",0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,0.5,1,0.5,1,0,0.5,0
"23","B2","ノリウツギ",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,3,0.5,0,0
"24","B2","ハイイヌガヤ",3,0,0,0,0,20,4,0,0,0,6,0,0,0,0,2,2,0,1,0,5,4,2,0.5,2
"25","B2","ハウチワカエデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
