"","階層","種名","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","頻度","総合優占度"
"1","B2","アオダモ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Ⅰ",0.894427190999916
"2","B2","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"3","B2","イタヤカエデ",0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,"Ⅰ",4.89897948556636
"4","B2","ウリハダカエデ",0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,"Ⅲ",9.83869910099907
"5","B2","ウワミズザクラ",4,4,4,3,4,4,0,3,4,4,3,0,4,5,0,4,3,4,4,4,0,0,0,1,3,"Ⅳ",45.7995633166955
"6","B2","エゾユズリハ",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"7","B2","オオイタヤメイゲツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"8","B2","オオカメノキ",5,7,6,6,5,5,5,6,5,5,5,4,5,4,5,6,6,5,5,5,6,6,5,5,4,"Ⅴ",72.3878442834154
"9","B2","オオバクロモジ",5,5,5,5,5,5,5,4,4,0,5,5,4,5,4,4,4,5,3,1,2,4,3,4,4,"Ⅴ",61.9677335393187
"10","B2","クサアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,"Ⅰ",2.19089023002066
"11","B2","クロウスゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"12","B2","コシアブラ",0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,1,0,0.5,0,0,0,0,0,"Ⅱ",5.79655069847578
"13","B2","コマユミ",2,3,0,0.5,0,6,4,0,0,0,4,0,0.5,0,0,1,2,0,2,0,3,4,2,2,2,"Ⅲ",30.199337741083
"14","B2","サワフタギ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,4,3,"Ⅱ",14.8593404968054
"15","B2","スノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"16","B2","タカノツメ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"17","B2","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"18","B2","タムシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"19","B2","ツノハシバミ",1,2,1,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,"Ⅱ",10.9544511501033
"20","B2","ツリバナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"21","B2","トチノキ",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"22","B2","ナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Ⅰ",0.894427190999916
"23","B2","ノリウツギ",0,0,0,0,0,0,0.5,0,0,0,2,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,"Ⅰ",6.32455532033676
"24","B2","ハイイヌガヤ",0,0.5,0.5,0,0,0.5,0.5,1,0.5,0,1,0.5,0,0,0,3,3,0,0,0,0,3,1,0,0,"Ⅲ",16.9705627484771
"25","B2","ハウチワカエデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"26","B2","ハリギリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"27","B2","ヒメアオキ",4,3,0,3,0,3,4,1,0,0,0,3,0,3,0,3,1,4,0,0,0,0,4,0,0,"Ⅲ",26.290682760248
"28","B2","ブナ",0,6,5,5,6,0,5,4,6,0,0,5,0,6,6,0,0,4,5,0,4,0,0,5,5,"Ⅲ",42.9883705204093
