"","階層","種名","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","頻度","総合優占度"
"1","B2","アオダモ",1,0,0.5,0.5,0,0.5,2,1,0,0.5,1,0.5,2,0,0,3,3,0,0.5,0,0.5,4,0.5,0,0.5,"Ⅳ",24.1826384003069
"2","B2","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"3","B2","イタヤカエデ",0.5,0,0,0,0,0,0.5,0,0,0,1,0.5,1,0,0,0.5,0,1,0,0,0.5,0.5,0.5,0,0,"Ⅱ",10.1980390271856
"4","B2","ウリハダカエデ",5,0,4,3,4,4,3,4,4,4,2,3,4,4,1,3,3,3,4,3,0.5,3,0.5,3,0,"Ⅴ",51.4742654148653
"5","B2","ウワミズザクラ",4,0,1,3,2,0.5,0,0,2,4,0,0,0,0,4,0,2,3,3,1,3,0,2,4,3,"Ⅳ",32.5944780599414
"6","B2","エゾユズリハ",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"7","B2","オオイタヤメイゲツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"8","B2","オオカメノキ",5,0,6,6,5,5,5,6,5,5,5,4,5,4,4,5,5,5,5,5,7,6,5,4,4,"Ⅴ",68.1645068932505
"9","B2","オオバクロモジ",5,0,5,4,4,5,5,4,2,2,4,4,5,4,3,4,4,5,4,2,4,4,3,4,4,"Ⅴ",60.0799467376595
"10","B2","クサアジサイ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,"Ⅰ",6.57267069006199
"11","B2","クロウスゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"12","B2","コシアブラ",1,0,1,0,0.5,0,1,1,0.5,0,0.5,0.5,1,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,2,"Ⅲ",15.6971334962789
"13","B2","コマユミ",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,"Ⅰ",4.47213595499958
"14","B2","サワフタギ",3,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,5,5,0,0,4,4,4,"Ⅱ",19.0997382181013
"15","B2","スノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.26491106406735
"16","B2","タカノツメ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"17","B2","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"Ⅰ",1.78885438199983
"18","B2","タムシバ",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"19","B2","ツノハシバミ",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0,0,0.5,"Ⅱ",5.3665631459995
"20","B2","ツリバナ",0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,"Ⅰ",4.38178046004133
"21","B2","トチノキ",0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,1,0,0,"Ⅱ",9.38083151964686
"22","B2","ナナカマド",0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,0.5,1,0.5,1,0,0.5,0,"Ⅱ",10.1980390271856
"23","B2","ノリウツギ",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,3,0.5,0,0,"Ⅱ",9.46572765295939
"24","B2","ハイイヌガヤ",3,0,0,0,0,6,3,0,0,0,4,0,0,0,0,2,2,0,1,0,4,3,2,0.5,2,"Ⅲ",24.9799919935936
"25","B2","ハウチワカエデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"26","B2","ハリギリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"Ⅰ",2.5298221281347
"27","B2","ヒメアオキ",4,0,4,1,0,4,4,0,0,0,4,4,0,2,0.5,0,2,3,0,0,0,4,3,3,2,"Ⅲ",32.6802692767364
"28","B2","ブナ",0.5,0,4,5,6,5,5,5,6,0,0,5,0,6,6,3,3,4,5,3,4,0,0,5,5,"Ⅳ",50.9823498869952
"29","B2","ホオノキ",1,0,4,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Ⅰ",8.94427190999916
"30","B2","マユミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"31","B2","ミズキ",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,"Ⅰ",3.09838667696593
"32","B2","メイゲツカエデ",0,0,0,5,0,0,0,0,3,3,1,3,4,0,0,0,4,0,0,0,4,4,0.5,0,0,"Ⅱ",22.4499443206436
"33","B2","ヤマアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"34","B2","ヤマウルシ",2,0,2,4,0,3,4,1,0.5,0.5,0,2,1,3,0,3,1,4,0,0,0,0,4,1,0,"Ⅳ",30.3578655376164
"35","B2","ヤマモミジ",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0.5,0,0,0,3,0,"Ⅰ",7.79743547584717
"36","C","アカミノルイヨウショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"37","C","イボタノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"38","C","ウド",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"39","C","ウメガサソウ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"40","C","エンレイソウ",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,"Ⅰ",2.68328157299975
"41","C","オオバユキザサ",0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",2.82842712474619
"42","C","オシダ",0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,3,0.5,0.5,0,0.5,0,0,0,0,0,0,0,"Ⅱ",8.19756061276768
"43","C","カメバヒキオコシ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0.5,0,0,"Ⅰ",4
"44","C","ギンリョウソウ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"45","C","クルマバソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,"Ⅰ",0.894427190999916
"46","C","クルマバハグマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
