"","X.2","サブプロット","階層","種名","DK1999","被度2006","被度2012","被度2018","X","memo","X.1","DK2006"
"1",1,1,"B2","オオカメノキ",0,1,0.5,"0.5","","",NA,1
"2",2,1,"B2","オオシラビソ",4,5,0.5,"1","","",NA,4
"3",3,1,"B2","オオバスノキ",4,6,4,"4","","",NA,4
"4",4,1,"B2","オガラバナ",0,0.5,0.5,"0.5","","",NA,0.5
"5",5,1,"B2","ヒメウスノキ",0,0.5,0.5,"0.2","","",NA,0.5
"6",6,1,"B2","ミネカエデ",5,10,20,"10","","",NA,5
"7",7,1,"B2","ムラサキヤシオツツジ",0,0.5,0.5,"0.5","","",NA,0.5
"8",8,1,"C","イワナシ",0.5,0.5,0.5,"0.1","","",NA,0.5
"9",9,1,"C","コイワカガミ",0.5,0.5,0.5,"0.1","","",NA,0.5
"10",10,1,"C","ゴゼンタチバナ",0,1,1,"1.5","","",NA,1
"11",11,1,"C","シノブカグマ",0.5,0.5,0.5,"0.5","","",NA,0.5
"12",12,1,"C","ショウジョウバカマ",2,2,0.5,"0.5","","",NA,2
"13",13,1,"C","ツマトリソウ",0.5,0,0.5,"0.1","","",NA,0
"14",14,1,"C","ツルリンドウ",0.5,1,0.5,"0.1","","",NA,1
"15",15,1,"C","ヒメタケシマラン",0,0.5,0.5,"0.2","","10:50",NA,0.5
"16",16,1,"C","マイヅルソウ",1,0,0.5,"0.2","","",NA,0
"17",17,1,"C","ミズバショウ",5,10,10,"15","","",NA,5
"18",18,1,"C","ミツバオウレン",0.5,0.5,0.5,"0.1","","",NA,0.5
"19",19,1,"C","ミヤマカンスゲ",5,8,3,"7","","",NA,4
"20",20,1,"C","ヤマソテツ",0,2,3,"3","","",NA,2
"21",21,1,"C","キソチドリ",0.5,0,NA,"","","",NA,0
"22",22,1,"C","ゴゼンタチバナ",2,0,1,"","","",NA,0
"23",23,1,"C","チゴユリ",1,0,0.5,"0.1","","",NA,0
"24",24,1,"C","ヤマソテツ",3,0,NA,"","","",NA,0
"25",25,1,"S","チシマザサ",9,100,70,"80","","",NA,10
"26",26,2,"B2","オオカメノキ",2,0,0.5,"1","","",NA,0
"27",27,2,"B2","オオシラビソ",4,8,35,"5","","",NA,4
