,id,form,spj,sp,family_jp,family
1,787963020,bl,アオダモ,Fraxinus lanuginosa Koidz.  f. serrata (Nakai) Murata,モクセイ科,Oleaceae
2,787971050,bs,アカミノイヌツゲ,Ilex sugerokii Maxim.  var. brevipedunculata (Maxim.) S.Y.Hu,モチノキ科,Aquifoliaceae
3,787563050,bl,ウリハダカエデ,Acer rufinerve Siebold et Zucc.,ムクロジ科,Sapindaceae
4,787553010,bl,ウワミズザクラ,Padus grayana (Maxim.) C.K.Schneid.,バラ科,Rosaceae
5,787911030,bs,エゾアジサイ,Hydrangea serrata (Thunb.) Ser.  var. yesoensis (Koidz.) H.Ohba,アジサイ科,Hydrangeaceae
6,787401050,bs,エゾユズリハ,Daphniphyllum macropodum Miq.  subsp. humile (Maxim. ex Franch. et Sav.) Hurus.,ユズリハ科,Daphniphyllaceae
7,787981010,bs,オオカメノキ,Viburnum furcatum Blume ex Maxim.,ガマズミ科,Viburnaceae
8,760004070,bs,オオバクロモジ,Lindera umbellata Thunb.  var. membranacea (Maxim.) Momiy. ex H.Hara et M.Mizush.,クスノキ科,Lauraceae
9,787982060,bl,コシアブラ,Chengiopanax sciadophylloides (Franch. et Sav.) C.B.Shang et J.Y.Huang,ウコギ科,Araliaceae
10,787563050,bs,コミネカエデ,Acer micranthum Siebold et Zucc.,ムクロジ科,Sapindaceae
11,787921150,bs,サワフタギ,Symplocos sawafutagi Nagam.,ハイノキ科,Symplocaceae
12,760003020,bs,タムシバ,Magnolia salicifolia (Siebld et Zucc.) Maxim.,モクレン科,Magnoliaceae
13,787553010,bs,ナナカマド,Sorbus commixta Hedl.,バラ科,Rosaceae
14,787911030,bs,ノリウツギ,Hydrangea paniculata Siebold,アジサイ科,Hydrangeaceae
15,787563050,bl,ハウチワカエデ,Acer japonicum Thunb.,ムクロジ科,Sapindaceae
16,787971040,bs,ハナイカダ,Helwingia japonica (Thunb.) F.Dietr.,ハナイカダ科,Helwingiaceae
17,787982060,bl,ハリギリ,Kalopanax septemlobus (Thunb.) Koidz.,ウコギ科,Araliaceae
18,787563050,bl,ヒトツバカエデ,Acer distylum Siebold et Zucc.,ムクロジ科,Sapindaceae
19,787931020,bs,ヒメアオキ,Aucuba japonica Thunb.  var. borealis Miyabe et Kudô ,アオキ科,Aucubaceae
20,787555020,bl,ブナ,Fagus crenata Blume,ブナ科,Fagaceae
21,760003020,bl,ホオノキ,Magnolia obovata Thunb.,モクレン科,Magnoliaceae
22,787563040,bs,ヤマウルシ,Toxicodendron trichocarpum (Miq.) Kuntze,ウルシ科,Anacardiaceae
23,787921210,bl,リョウブ,Clethra barbinervis Siebold et Zucc.,リョウブ科,Clethraceae
24,787921160,h,イワウチワ,Shortia uniflora (Maxim.) Maxim.,イワウメ科,Diapensiaceae
25,787921240,ds,イワナシ,Epigaea asiatica Maxim.,ツツジ科,Ericaceae
26,500007060,f,イワハリガネワラビ,"Thelypteris musashiensis (Hiyama) Nakato, Sahashi et M.Kato",ヒメシダ科,Thelypteridaceae
27,787963120,h,カメバヒキオコシ,Isodon umbrosus (Maxim.) H.Hara  var. leucanthus (Murai) K.Asano  f. kameba (Okuyama ex Ohwi) K.Asano,シソ科,Lamiaceae
28,500007100,f,シノブカグマ,Arachniodes mutica (Franch. et Sav.) Ohwi,オシダ科,Dryopteridaceae
29,775001010,h,シュスラン,Goodyera velutina Maxim.,ラン科,Orchidaceae
30,500001010,f,ゼンマイ,Osmunda japonica Thunb.,ゼンマイ科,Osmundaceae
31,787972030,h,タニギキョウ,Peracarpa carnosa (Wall.) Hook.f. et Thomson,キキョウ科,Campanulaceae
32,774001040,h,チゴユリ,Disporum smilacinum A.Gray,イヌサフラン科,Colchicaceae
33,774001020,h,ツクバネソウ,Paris tetraphylla A.Gray,シュロソウ科,Melanthiaceae
34,787951020,h,ツルリンドウ,Tripterospermum japonicum (Siebold et Zucc.) Maxim.,リンドウ科,Gentianaceae
35,787982060,h,トチバニンジン,Panax japonicus (T.Nees) C.A.Mey.,ウコギ科,Araliaceae
36,787971050,ds,ハイイヌツゲ,Ilex crenata Thunb.  var. radicans (Nakai) Murai,モチノキ科,Aquifoliaceae
37,500007070,f,ハクモウイノデ,Deparia jiulungensis (Ching) Z.R.Wang  var. albosquamata (M.Kato) Z.R.Wang,メシダ科,Athyriaceae
38,787971050,ds,ヒメモチ,Ilex leucoclada (Maxim.) Makino,モチノキ科,Aquifoliaceae
39,774001040,h,ホウチャクソウ,Disporum sessile D.Don ex Schult. et Schult.f.  var. sessile,イヌサフラン科,Colchicaceae
40,500007070,f,ミヤマシケシダ,Deparia pycnosora (Christ) M.Kato,メシダ科,Athyriaceae
41,787972110,h,モミジハグマ,Ainsliaea acerifolia Sch.Bip.  var. acerifolia,キク科,Asteraceae
42,500007070,f,ヤマイヌワラビ,Athyrium vidalii (Franch. et Sav.) Nakai,メシダ科,Athyriaceae
43,500006040,f,ヤマソテツ,Plagiogyria matsumurana Makino,キジノオシダ科,Plagiogyriaceae
44,500001010,f,ヤマドリゼンマイ,Osmundastrum cinnamomeum (L.) C.Presl  var. fokiense (Copel.) Tagawa,ゼンマイ科,Osmundaceae
45,500007060,f,ヤワラシダ,Thelypteris laxa (Franch. et Sav.) Ching,ヒメシダ科,Thelypteridaceae
46,775001140,h,ユキザサ,Maianthemum japonicum (A.Gray) LaFrankie,クサスギカズラ科,Asparagaceae
47,776005170,sasa,チシマザサ,Sasa kurilensis (Rupr.) Makino et Shibata,イネ科,Poaceae
48,787556040,bs,ツリバナ,Euonymus oxyphyllus Miq.  var. oxyphyllus,ニシキギ科,Celastraceae
49,787981010,bs,ニワトコ,Sambucus racemosa L.  subsp. sieboldiana (Miq.) H.Hara,ガマズミ科,Viburnaceae
50,787555020,bl,ミズナラ,Quercus crispula Blume  var. crispula,ブナ科,Fagaceae
51,787972110,h,オクモミジハグマ,Ainsliaea acerifolia Sch.Bip.  var. subapoda Nakai,キク科,Asteraceae
52,500007100,f,サカゲイノデ,Polystichum retrosopaleaceum (Kodama) Tagawa,オシダ科,Dryopteridaceae
53,500007100,f,ジュウモンジシダ,Polystichum tripteron (Kunze) C.Presl,オシダ科,Dryopteridaceae
54,774001090,h,タチシオデ,Smilax nipponica Miq.,サルトリイバラ科,Smilacaceae
55,787951010,h,ツルアリドオシ,Mitchella undulata Siebold et Zucc.,アカネ科,Rubiaceae
56,787972030,h,ツルニンジン,Codonopsis lanceolata (Siebold et Zucc.) Trautv.,キキョウ科,Campanulaceae
57,500007060,f,ハリガネワラビ,Thelypteris japonica (Baker) Ching,ヒメシダ科,Thelypteridaceae
58,500007100,f,ホソバナライシダ,Arachniodes borealis Seriz.,オシダ科,Dryopteridaceae
