表7-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11A,,,,,11B,,12,,,,,13,,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,24,,,,25,,,,26,,,,27,,,,28,,,,29,,,,30,,,,31,,,,32,,,,33,,,,34,,,,35,,,,36,,,,37,,,,38,,39,,,,40,,,,41,,,,42,,,,43,,,,44,,,,45,,,,46,,,,,51,,,,,,,52,,,,,,,53,,,,,,,54,,,,,,,55,,,,,,,,
地点名,弘法トイレ,,,,,弘法バス停,,,,,追分花壇,,,,,追分松尾峠口,,,,,追分料金所花壇,,,,,弥陀ヶ原大駐車場,,,,,弥陀ヶ原六甲学院前,,,,,弥陀ヶ原バス停,,,,,弥陀ヶ原ホテル前　　　      駐車場,,,,,弥陀ヶ原散策路入口,,,,,弥陀ヶ原ホテル裏,,,,,弥陀ヶ原　焼却炉跡,,弥陀ヶ原立山荘前,,,,,カルデラ展望台入口,,,,,美松駐車場,,,,天狗の鼻　       第1駐車場,,,,天狗の鼻　       第２駐車場,,,,立山高原ホテル　　  　（浄化槽）,,,,立山高原ホテル   周辺,,,,立山高原ホテル～天狗平山荘,,,,天狗平山荘周辺,,,,天狗平駐車場,,,,天狗平                 休憩所跡地,,,,天狗平歩道起点,,,,国見第1駐車場,,,,国見第２駐車場,,,,大谷待避所,,,,大 谷,,,,室堂第2駐車場,,,,室堂ロータリー,,,,立山センター車道,,,,立山センター周辺,,,,室堂ターミナル園地,,,,室堂平広場遊歩道,,,,室堂平広場遊歩道,,,,供養塔広場,,,,みくりが池展望台,,,,みくりが池遊歩道,,,,地獄谷への遊歩道,,室堂山荘遊歩道,,,,室堂山荘遊歩道,,,,室堂山荘横,,,,玉殿岩屋への道,,,,エンマ台,,,,ミドリガ池遊歩道,,,,ミドリガ池遊歩道,,,,ミドリガ池広場,,,,,弥陀ヶ原ホテルと                         休憩所の中間地点,,,,,,,弥陀ヶ原休憩所上部,,,,,,,弥陀ヶ原休憩所下部,,,,,,,弥陀ヶ原遊歩道                         内回り分岐点,,,,,,,弥陀ヶ原遊歩道 T字路,,,,,,,,
,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H22,H25,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,,
種数,9,12,25,22,26,9,14,20,25,25,7,9,14,18,19,11,14,16,20,21,9,13,17,16,22,14,23,17,25,27,6,10,12,14,17,7,12,14,18,20,16,10,13,16,17,2,5,9,7,18,7,9,16,21,23,7,13,10,17,17,16,17,8,10,11,12,12,6,9,6,10,10,12,10,10,7,10,15,13,8,8,10,14,6,6,10,10,4,4,6,6,9,7,11,12,4,8,10,11,4,3,3,4,8,9,8,10,8,7,9,10,5,6,6,6,6,5,3,3,4,2,2,5,7,8,9,10,9,14,14,14,5,8,10,8,6,9,12,11,6,8,10,14,8,8,8,10,4,8,7,6,3,6,4,4,4,4,5,4,5,7,6,6,2,0,3,7,7,5,6,6,3,3,4,4,4,4,2,1,1,0,5,4,4,6,8,7,8,7,8,3,7,9,3,4,7,7,,1,1,2,2,2,2,2,2,10,10,10,9,10,12,3,8,6,11,11,13,16,1,1,1,1,1,2,2,0,0,0,1,1,1,1,,
アイバソウ,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
アカメヤナギ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,2,,,,,,,,,,,,,,,,18
イ,,,1,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,2,,,,,1,,,,1,,,,,,,,,1,,1,,,1,2,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,19
イタドリ,,,3,2,1,,1,3,1,1,3,1,2,2,2,2,1,1,1,1,,2,2,1,1,,2,1,1,2,1,1,1,1,,,,1,1,1,,,,,,,,,1,1,,1,2,2,2,,1,3,1,1,1,1,2,1,1,1,1,1,2,2,2,3,3,2,2,4,2,1,1,4,4,1,4,3,3,2,2,3,3,3,3,,,1,1,3,2,2,2,3,,,,1,1,1,1,5,3,4,2,4,3,3,3,4,3,3,3,5,4,1,1,4,4,2,1,3,3,2,3,3,4,1,2,,1,1,1,3,3,2,1,3,3,2,1,3,2,1,1,,1,1,1,,,,,1,,1,1,1,,,1,1,1,2,2,2,1,1,1,,1,,,,,3,2,2,2,2,1,,2,,,,1,,,,,,,,,,,,,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,173
アイイタドリ,,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,24
アライドツメクサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
イヌガラシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
イヌコリヤナギ,,,,,,,,,,1,,1,1,1,1,,2,2,3,2,,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
ウツボグサ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,1,,,,1,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
