"","plot","layer","sp","form","f1","f2","f3","f4","f5","F1","F2","F3","F4","F5","c1","c2","c3","c4","c5","di1","di2","di3","di4","di5","cal"
"1","Bijodaira","B2","アオダモ","bl",0.346153846153846,0.5,0.807692307692308,0.846153846153846,0.884615384615385,"Ⅱ","Ⅲ","Ⅴ","Ⅴ","Ⅴ",0.16,0.26,0.56,0.66,0.716,7.44208407535251,11.4017542509914,21.267526708757,23.9871760610668,25.9288968586728,1
"2","Bijodaira","B2","アカミノイヌツゲ","bs",0.153846153846154,0.115384615384615,0.0769230769230769,0.0769230769230769,0.115384615384615,"Ⅰ","Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.06,0.04,0.08,0.04,0.06,3.038218101251,2.1483446221183,2.48069469178417,1.75411603861406,2.63117405792109,1
"3","Bijodaira","B2","アクシバ","bs",0.153846153846154,0.0769230769230769,0.230769230769231,0.192307692307692,0.346153846153846,"Ⅰ","Ⅰ","Ⅱ","Ⅰ","Ⅱ",0.08,0.02,0.22,0.112,0.176,3.50823207722812,1.24034734589208,7.12525303194425,5.18874521662771,8.72661710824109,1
"4","Bijodaira","B2","イタヤカエデ","bl",0,0,0.0769230769230769,0.0769230769230769,0.115384615384615,"-","-","Ⅰ","Ⅰ","Ⅰ",0,0,0.02,0.02,0.024,0,0,1.24034734589208,1.24034734589208,2.1483446221183,0
"5","Bijodaira","B2","ウリハダカエデ","bl",0.538461538461538,0.576923076923077,0.884615384615385,0.923076923076923,1,"Ⅲ","Ⅲ","Ⅴ","Ⅴ","Ⅴ",0.76,1.14,1.46,1.068,1.192,20.2294530136326,21.2132034355964,33.9116499156263,31.2803698581321,33.166247903554,1
"6","Bijodaira","B2","ウワミズザクラ","bl",0.461538461538462,0.423076923076923,0.576923076923077,0.730769230769231,0.5,"Ⅲ","Ⅲ","Ⅲ","Ⅳ","Ⅲ",0.68,0.78,0.62,0.636,0.432,17.7157035944428,18.1659021245849,18.2924953086063,22.6172160430602,14.4913767461894,1
"7","Bijodaira","B2","エゾアジサイ","bs",0.115384615384615,0,0,0,0,"Ⅰ","-","-","-","-",0.28,0,0,0,0,5.68398560058805,0,0,0,0,0
"8","Bijodaira","B2","エゾユズリハ","bs",0.153846153846154,0.115384615384615,0.192307692307692,0.115384615384615,0.230769230769231,"Ⅰ","Ⅰ","Ⅰ","Ⅰ","Ⅱ",0.16,0.16,0.1,0.036,0.068,4.96138938356834,4.2966892442366,4.38529009653515,2.1483446221183,4.80384461415261,1
"9","Bijodaira","B2","オオカメノキ","bs",1,1,1,1,1,"Ⅴ","Ⅴ","Ⅴ","Ⅴ","Ⅴ",3.64,6,8.84,10.68,12.04,60.3324125159934,59.6657355607052,65.7267069006199,66.932802122726,67.5277720645365,1
"10","Bijodaira","B2","オオバクロモジ","bs",0.961538461538462,0.961538461538462,1,0.961538461538462,1,"Ⅴ","Ⅴ","Ⅴ","Ⅴ","Ⅴ",3.08,4.68,6.8,4.948,4.244,54.4200189409969,54.0654873563249,62.9285308902091,54.0654873563249,55.1361950083609,1
"11","Bijodaira","B2","オオバスノキ","bs",0,0,0.0769230769230769,0,0,"-","-","Ⅰ","-","-",0,0,0.02,0,0,0,0,1.24034734589208,0,0,0
"12","Bijodaira","B2","カスミザクラ","bl",0,0,0,0.0769230769230769,0,"-","-","-","Ⅰ","-",0,0,0,0.004,0,0,0,0,1.24034734589208,0,0
"13","Bijodaira","B2","キハダ","bl",0,0,0.115384615384615,0.0769230769230769,0,"-","-","Ⅰ","Ⅰ","-",0,0,0.04,0.02,0,0,0,2.1483446221183,1.24034734589208,0,0
